,,,,,,,,,,,,,,,,,
,Sl. No,Metric,Definition,,Status,Timeline,PoC,,Units,FY23,FY24,FY25,FY26,9MFY25,9MFY26,Source,Data limitations
,23,# Avg. Monthly users of app,No. app visits during the time period,"Average no. of unique customers per month who have visited the app and have done any activity in the fitness services (booked session/purchased pack) and the fitness products segments (purchased product).",Done,Done,Analytics,,#,,368719,461126,545155,,,https://metabase.curefit.co/question/84472-monthly-hometab-openers-any-activity-or-purchase,
,24,# Followers on social media,No of followers on each social media platforms as on today,Total number of social media followers on each platform as on the date of DRHP,Done,Done,NA,,#,"Refer to ""Business section metrics - Responses"" sheet",,,,,,Respective social media pages,
,26,Gx class utilization %,Total footfalls in Gx classes/Total capacity in Gx classes during the period,Total footfalls in the Gx classes divided by the total capacity of the Gx classes scheduled during the relevant period/year,Done,Done,Gx team,,%,,54%,57%,55%,2%,2%,"https://metabase.curefit.co/question/30893-cst-class-data?start=2026-03-01&workout=&cluster=&center_name=&city=&end=2026-03-12;
https://docs.google.com/spreadsheets/d/1KIxsfRj6wYel6Nxm-_KugA0zbLdsVLv8/edit?usp=drive_link&ouid=116981787178806296143&rtpof=true&sd=true",
,27, Avg. # Customers workingout/day,Total. footfalls during an year/365,Total number of footfalls during the relevant period/year divided by 365,Done,Done,Analytics,,#,,"96,521","122,975","142,410",,,"https://metabase.curefit.co/question/55566-footfalls-grained?Start_Date=2023-01-01&End_Date=2024-11-12&grain=quarter; 
https://metabase.curefit.co/question/75753-at-home-footfalls?grain=month",
,28,# Centers with BCA machines installed,# BCA machines that were installed till date,"Total number of Body composition analyser machines installed at the end of March 31,2026",Done,Done,CE team,,#,,,,237,,215,https://docs.google.com/spreadsheets/d/1WMG5h6DyY74FZw0UlrryUjhayhVrGtZw/edit?gid=1026505038#gid=1026505038,
,29,Gx class cancellation rate %,"Percentage of GX classes cancelled, excluding no-booking classes.","Percentage of GX classes cancelled, excluding no-booking classes.",Done,Done,Gx team,,%,,3.36%,1.38%,0.71%,,,https://metabase.curefit.co/question/84466-gx-class-cancellation-excludes-no-booking-classes,
,30,Gx class peak utilization %,Peak utilization percentage for GX classes during the relevant period/year.,Peak utilization percentage for GX classes during the relevant period/year.,Done,Done,Gx team,,%,,66.20%,68.20%,66.70%,,,https://metabase.curefit.co/question/83998-gx-hourly-utilization,
,29,# Partners with >1 centers,% of partners who has more than 1 center with Cult,Total number of partner with more than 1 center with the company divided by the total number of partners,Done,Done,Accounts,,%,,,,74%,,29%,https://docs.google.com/spreadsheets/d/1jM8qudEs5b02FtbgLnjwYMLm1gLBbI_S/edit?gid=846437202#gid=846437202,
,30,Partner Payback,Avg. trending payback (Total Capex/ (BMM recovered so far/month+ BMM/month projected))of all centers as on end of that period,Avg. trending payback (Total Capex/ (BMM recovered so far/month+ BMM/month projected))of all centers as on end of that period,Done,Done,2P team,,Months,,,,44,49,43,https://docs.google.com/spreadsheets/d/1PYHgaH4TKP6jKJXjN0t7zfmjnHsk9af6KgvKFBOfRvA/edit?gid=1215511156#gid=1215511156,Excluding Lux
,31,# Franchisee centers/partner,Total franchise centers/Total franchise partners,"Total franchisee centers divided by the total franchisee partners at the end of March 31, 2026",Done,Done,Accounts,,,,,,1.43,,,https://docs.google.com/spreadsheets/d/1jM8qudEs5b02FtbgLnjwYMLm1gLBbI_S/edit?gid=846437202#gid=846437202,
,32,CSAT,CSAT - Avg. satisfaction % for the responses during the period,Customer satisfcation is computed as the average satisfaction % for the responses ,Done,Done,Utkarsh,,,,,59%,70%,,,https://docs.google.com/spreadsheets/d/1CCBKLJt-IHJ6Ion7qcSxyLVzMhgXXnq7Nlszi3jEgX0/edit?gid=73297736#gid=73297736,
,33,# Health activities tracked,"# users whose health activities* (Heart rate, Calories burnt, etc)*# days for which these activities are tracked","# users whose health activities* (Heart rate, Calories burnt, etc)*# days for which these activities are tracked",Done,Done,Analytics,,# Mn,,,,33.2,,,"https://metabase.curefit.co/question/74738-how-much-data-from-wearbles-v3?start=2023-04-01&end=2026-03-31;
https://docs.google.com/spreadsheets/d/16plKAM29aa1Dh5od1-cIGhrRHJNFO4jl/edit?gid=804955387#gid=804955387",
,34,BT rating ,% Bad & Terrible ratings out of total responses recieved durng the period,% Bad & Terrible ratings out of total responses recieved durng the period,Done,Done,Analytics,,%,,3%,4%,4%,,,https://metabase.curefit.co/question/79589-adhoc-20-04-2026,
,35,#Customers fill Session feedback form,Total responses recieved during the period,Total responses recieved during the period,Done,Done,Analytics,,#,,"9,382,031","9,458,482","10,586,111",,,https://metabase.curefit.co/question/79589-adhoc-20-04-2026,
,36,# escalations responded within 1hr,,,Pending,Apr'27,Utkarsh,,,,,,,,,,
,37,# Supply addition by asset-light expansion,% of new on-app centers added during an year though Non-COCO mode,Total number of new centers added through Non COCO model divided by the total number of the centers added during the relevant period/year,Done,Done,Finance,,%,,61%,68%,73%,,,Center level P&L,
,38,% gym-in-box centers out of asset light centers (in additions),% of new on-app centers added during an year though franchise mode out the ones added to non-COCO mode,% of new on-app centers added during an year though franchise mode out the ones added to non-COCO mode,Done,Done,Finance,,%,,45%,39%,80%,,,Center level P&L,
,39,% centers > 12M,% of live on-app centers with age greater than 12M,% of live on-app centers with age greater than 12M,Done,Done,Finance,,%,,74%,74%,85%,,,Center level P&L,
,40,% centers achieved design state margins,,,Pending,May mid,Finance,,%,,,,,,,Center level P&L,
,41,# Corporte clients,No of corporates who have transacted with Cult during the period for B2B memberships,Total number of corporates with B2B memberships who has transacted with the company during relevant period/year,Done,Done,"Soumya, Piyush",,#,467,589,842,987,678,883,https://docs.google.com/spreadsheets/d/1Tx91aH0dD0EHYPy_yoCjgaJcqO8ACvzn/edit?gid=112267077#gid=112267077,
,42,Corporate clients retention %,% of corporate clients who transacted with Cult in both the current & previous yrs divided by clients who transacted with Cult in previous yr,% of corporate clients who transacted with Cult in both the current & previous yrs divided by clients who transacted with Cult in previous yr,Done,Done,"Soumya, Piyush",,%,,47.53%,52.12%,49.880%,,,https://docs.google.com/spreadsheets/d/1Tx91aH0dD0EHYPy_yoCjgaJcqO8ACvzn/edit?gid=112267077#gid=112267077,
,44,Member retention rate,,,Pending,Apr'28,Analytics,,,,44.70%,46.70%,48.33%,,,
,Fitness Products,,,,,,,,,,,,,,,,
,1,# Consumers touched [FS+FP],,Sum of services paid members + no. of customers estimated to have purchased product in the given period,,,,,,,,,,,,,
,1,# Annual transacting customers,No of transactions purchasing a product,Total no. of estimated unique customers who have purchased active lifestyle products of Cult Brands in the period / year across all channels.,,,,,In lacs,,10.4,13.2,21.29,,,https://metabase.curefit.co/question/84704-total-transacting-customer,
,2,# Products sold annually,# Product units sold during the period,Total no. of products sold across all categories in the period / year through all channels.,,,,,In lacs,,19.0,30.4,42.39,,,https://metabase.curefit.co/question/84483-summary,
,3,# EBOs,# No. of Exclusive brand outlets live as on the date,Total no. of Exclusive Brand Outlets of Cult at the end of the year / period.,,,,,#,,4,17,29,,,"https://docs.google.com/spreadsheets/d/1wZuc-60oLH5RX0pXj8VcuTij9zPiYSapoosjoPFO4KE/edit?gid=0#gid=0;
https://drive.google.com/file/d/1lGVaoL-e6jRSMUgh3Huuvt9FLLORCvGj/view?usp=sharing",
,4,# SKUs sold,# Unique Style Id sold during the period (SKUs),Total number of unique style ID sold during the year,,,,,#,,"3,172","4,586",6457,,,https://metabase.curefit.co/question/84483-summary,
,6,# MBOs where Cult's presence,,,,,,,,,,,,,,,
