root_key,root_asset_id,root_asset_name,dashboard_id,dashboard_name,dashcard_id,card_id,card_name,dashboard_tab_id,row,col
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,28821,63761,Gender_Age Wise Cross Sell,208,45,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,28825,63729,State Wise Cross Sell,208,54,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,28814,63780,Day_Cohort_Category Wise Cross Sales,208,18,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,28817,63759,Top Performing Products In Each Category Date Wise,208,27,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,28813,63748,Cohort__Service_Type_Category Wise Cross Sales,208,9,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,28812,63750,Cohort_Service_Type  Wise Cross Sales,208,9,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,28811,63731,Service_Type_Category  Wise Cross Sell,208,0,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,28820,63746,Gender_Age_Category Wise Cross Sell,208,45,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,28818,63788,Age_Category Wise Cross Sell,208,36,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,28819,63774,Gender_Category Wise Cross Sell,208,36,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,28863,63795,Quarter Wise Cross Sell User Count,207,32,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,29231,64443,Current Month Day Wise Cross Sell VS D2C,207,16,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,29757,65195,EBO - Cross Sell VS D2C,294,0,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,29759,65159,EBO Cross Sell - Majority Service Wise,294,8,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,29758,65138,EBO Cross Sell - Cohort Wise,294,0,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,29764,64117,EBO Cross Sell - Month_Store Wise,294,43,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,29761,65196,EBO - Category Wise Cross Sell VS D2C,294,25,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,29760,65198,EBO Cross Sell - Category Wise,294,8,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,29765,65123,EBO Cross Sell - Store_Category Wise,294,52,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,29763,65124,EBO Cross Sell - Store Wise,294,43,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,29762,65122,EBO Cross Sell - Month_Store_Category Wise,294,52,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,29766,65202,EBO - Cross-Sell Trend – Last 12 Months,294,16,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,29768,65204,Cross Sell VS D2C,207,0,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,30795,66102,Source Wise Cross Sell VS D2C,207,72,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,30822,66114,Active VS Expired GMV  Summary,207,0,12
