source_row,normalized_source_url,asset_type,root_key,root_asset_id,root_asset_name,node_card_id,node_card_name,parent_card_id,recursion_depth,dependency_type,schema_name,object_name,normalized_object,derived_lineage_status,upstream_core_objects,evidence_status,notes,unresolved_reason
5|22,https://metabase.curefit.co/question/75753-at-home-footfalls?grain=month,question,question-75753,75753,'At Home' footfalls,75753,'At Home' footfalls,,0,table,dwh_fitness_mart,membership_dim,dwh_fitness_mart.membership_dim,source_table,dwh_fitness_mart.membership_dim,query_sql|metadata_json|result_blocked,,
5|22,https://metabase.curefit.co/question/75753-at-home-footfalls?grain=month,question,question-75753,75753,'At Home' footfalls,75753,'At Home' footfalls,,0,table,dwh_live,live_bookings,dwh_live.live_bookings,source_table,dwh_live.live_bookings,query_sql|metadata_json|result_blocked,,
6,https://metabase.curefit.co/question/47810-which-of-these-below-mentioned-statements-best-describes-your-fitness-history,question,question-47810,47810,Which of these below- mentioned statements best describes your fitness history.,47810,Which of these below- mentioned statements best describes your fitness history.,,0,table,pk_curefitprod_cfdb,npsresponses,pk_curefitprod_cfdb.npsresponses,source_table,pk_curefitprod_cfdb.npsresponses,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,question-75630,75630,Gender Split,75630,Gender Split,,0,table,dwh_fitness_mart,membership_dim,dwh_fitness_mart.membership_dim,source_table,dwh_fitness_mart.membership_dim,query_sql|metadata_json|result_blocked,,
7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,question-75630,75630,Gender Split,75630,Gender Split,,0,table,pk_curefitprod_cfdb,npsresponses,pk_curefitprod_cfdb.npsresponses,source_table,pk_curefitprod_cfdb.npsresponses,query_sql|metadata_json|result_blocked,,
7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,question-75630,75630,Gender Split,75630,Gender Split,,0,table,pk_cfuserservice_cultapp,User,pk_cfuserservice_cultapp.User,source_table,pk_cfuserservice_cultapp.user,query_sql|metadata_json|result_blocked,,
7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,question-75630,75630,Gender Split,75630,Gender Split,,0,table,pk_cfprodplatforms_rashi,User_Attribute,pk_cfprodplatforms_rashi.User_Attribute,unresolved,,query_sql|metadata_json|result_blocked,,Relation not found in local dbt manifest.
7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,question-75630,75630,Gender Split,75630,Gender Split,,0,table,,user_age,user_age,unresolved,,query_sql|metadata_json|result_blocked,,Relation not found in local dbt manifest.
7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,question-75630,75630,Gender Split,75630,Gender Split,,0,table,,rashi_age,rashi_age,unresolved,,query_sql|metadata_json|result_blocked,,Relation not found in local dbt manifest.
7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,question-75630,75630,Gender Split,75630,Gender Split,,0,table,,age_onboarding,age_onboarding,unresolved,,query_sql|metadata_json|result_blocked,,Relation not found in local dbt manifest.
