month,user_count
2018-10-01T00:00:00Z,6343
2019-01-01T00:00:00Z,7105
2019-04-01T00:00:00Z,14451
2019-07-01T00:00:00Z,24067
2019-10-01T00:00:00Z,32267
2020-01-01T00:00:00Z,46976
2020-04-01T00:00:00Z,52945
2020-07-01T00:00:00Z,63560
2020-10-01T00:00:00Z,70341
2021-01-01T00:00:00Z,77284
2021-04-01T00:00:00Z,82446
2021-07-01T00:00:00Z,89160
2021-10-01T00:00:00Z,95862
2022-01-01T00:00:00Z,101202
2022-04-01T00:00:00Z,110686
2022-07-01T00:00:00Z,122863
2022-10-01T00:00:00Z,140211
2023-01-01T00:00:00Z,174001
2023-04-01T00:00:00Z,198027
2023-07-01T00:00:00Z,211451
2023-10-01T00:00:00Z,225113
2024-01-01T00:00:00Z,239102
2024-04-01T00:00:00Z,253443
2024-07-01T00:00:00Z,272450
2024-10-01T00:00:00Z,290430
2025-01-01T00:00:00Z,308399
2025-04-01T00:00:00Z,337507
2025-07-01T00:00:00Z,365170
2025-10-01T00:00:00Z,396645
2026-01-01T00:00:00Z,432889
2026-04-01T00:00:00Z,446224
