business_category,item_code,total_amount,base_amount,total_nlc,units,gm,gm_percent
,Sale Of Asset,79121,67052,3878214,5,-3811162,-56.838901151345226
,Sales Discount,-41311515,-39372015,46087340,-1230,-85459355,2.1705608666460177
3P Brand,AZAAA00000072,368,312,109,1,203,0.6506410256410257
3P Brand,AZAAA00000092,413,350,245,2,105,0.3
3P Brand,AZCOM026,0,0,0,16,0,NaN
3P Brand,AZCOM027,0,0,0,50,0,NaN
3P Brand,AZCOM028,0,0,0,54,0,NaN
3P Brand,AZCOM029,0,0,0,49,0,NaN
3P Brand,AZMT078OLBKL,784,700,245,1,455,0.65
3P Brand,BL803638,210,200,174,3,26,0.13
3P Brand,BL803639,-281,-267,-232,-4,-35,0.13108614232209737
3P Brand,BL803640,-145,-138,-120,-2,-18,0.13043478260869565
3P Brand,Bailey,8771133,7434217,6226464,474,1207753,0.16245866915103502
3P Brand,CK803686,-6440,-5458,-4750,-10,-708,0.12971784536460243
3P Brand,CK803687,-23188,-19651,-17088,-6,-2563,0.13042593252251794
3P Brand,CS700257S,-1626,-1549,-360,-1,-1189,0.7675919948353777
3P Brand,CS700500XXL,-6469,-6161,-1167,-3,-4994,0.8105826976140237
3P Brand,CSN0023,4012,3400,2720,8,680,0.2
3P Brand,DP803705,-172,-154,-220,-1,66,-0.42857142857142855
3P Brand,DSC803679,-18886,-16862,-26660,-5,9798,-0.5810698612264262
3P Brand,Drayton,16567334,14040113,10491256,1401,3548857,0.2527655582259203
3P Brand,EV803635,-2531,-2145,-1864,-8,-281,0.131002331002331
3P Brand,EV803636,-1540,-1305,-1165,-5,-140,0.10727969348659004
3P Brand,HRDB01RHBK10,129158,109456,75440,46,34016,0.31077327876041516
3P Brand,HRDB01RHBK12.5,21011,18272,4100,2,14172,0.7756129597197898
3P Brand,HRDB01RHBK2.5,48381,41001,34440,84,6561,0.16002048730518767
3P Brand,HRDB01RHBK5,133727,113328,80360,98,32968,0.29090780742623185
3P Brand,HRDB01RHBK7.5,189036,160200,110700,90,49500,0.3089887640449438
3P Brand,Hampson,13086251,11091513,8738104,953,2353409,0.2121810613213905
3P Brand,Kelly,2721052,2305977,2867996,458,-562019,-0.24372272576873055
3P Brand,MY803660,61,58,51,1,7,0.1206896551724138
3P Brand,Marsh,18215852,15437162,11960466,1162,3476696,0.22521600796830402
3P Brand,NAS804828,182,163,142,1,21,0.12883435582822086
3P Brand,NAS804829,2524,2254,1960,8,294,0.13043478260869565
3P Brand,NAS804830,2145,1915,1665,5,250,0.13054830287206268
3P Brand,NAS804831,183,163,142,1,21,0.12883435582822086
3P Brand,NAS804832,183,163,142,1,21,0.12883435582822086
3P Brand,NAS804833,2195,1960,1704,3,256,0.1306122448979592
3P Brand,NAS804834,6702,5984,5780,10,204,0.03409090909090909
3P Brand,NAS804835,5743,5128,4459,7,669,0.13046021840873634
3P Brand,NAS804836,-1213,-1083,-940,-4,-143,0.13204062788550322
3P Brand,NAS804837,-1648,-1397,-1216,-2,-181,0.12956335003579098
3P Brand,NAS804838,-2472,-2095,-1824,-3,-271,0.12935560859188544
3P Brand,NAS804839,0,0,0,0,0,NaN
3P Brand,NAS804840,-69582,-58967,-51276,-6,-7691,0.13042888395204097
3P Brand,NAS804841,-21746,-18429,-16025,-5,-2404,0.1304465787617342
3P Brand,NAS804842,-2900,-2457,-2136,-2,-321,0.13064713064713065
3P Brand,NAS804843,-8405,-7123,-6194,-2,-929,0.13042257475782676
3P Brand,NAS804844,-656,-586,-510,-2,-76,0.1296928327645051
3P Brand,NAS804845,-1624,-1450,-1383,-3,-67,0.046206896551724136
3P Brand,NAS804846,2285,1936,1684,4,252,0.13016528925619836
3P Brand,NAS804847,-1,-1,0,0,-1,1
3P Brand,NAS804848,732,653,568,2,85,0.13016845329249618
3P Brand,NAS804849,-312,-278,-246,-2,-32,0.11510791366906475
3P Brand,NAS804850,-1098,-980,-852,-3,-128,0.1306122448979592
3P Brand,NAS804851,-1,-1,0,0,-1,1
3P Brand,NAS804852,-4165,-3719,-3234,-6,-485,0.13041140091422426
3P Brand,NAS804853,-958,-811,-704,-8,-107,0.1319358816276202
3P Brand,NAS804854,-1778,-1507,-1420,-5,-87,0.0577305905773059
3P Brand,NAS804855,-944,-843,-740,-10,-103,0.1221826809015421
3P Brand,NAS804856,-179939,-160660,-139704,-12,-20956,0.13043694759118635
3P Brand,NAS804857,-619,-553,-480,-1,-73,0.13200723327305605
3P Brand,NAS804858,1463,1240,1078,2,162,0.13064516129032258
3P Brand,NAS804859,1240,1050,11084,29,-10034,-9.556190476190476
3P Brand,NAS804860,-317,-268,382,1,-650,2.425373134328358
3P Brand,NAS804861,270,228,0,0,228,1
3P Brand,NAS804862,518,439,382,1,57,0.12984054669703873
3P Brand,NAS804863,-772,-654,-568,-2,-86,0.13149847094801223
3P Brand,NAS804864,78,66,0,0,66,1
3P Brand,NAS804865,2101,1780,1548,2,232,0.1303370786516854
3P Brand,NAS804866,1654,1401,1078,2,323,0.2305496074232691
3P Brand,NAS804867,3470,2941,2556,9,385,0.13090785447126826
3P Brand,NAS804868,4292,3832,3332,4,500,0.1304801670146138
3P Brand,NV803625,-1404,-1254,-1392,-3,138,-0.11004784688995216
3P Brand,NV803626,-30634,-27352,-23784,-6,-3568,0.13044749926879204
3P Brand,NV803627,-9772,-8725,-7904,-13,-821,0.09409742120343839
3P Brand,NV803628,-9065,-8094,-49275,-9,41181,-5.087842846553002
3P Brand,NV803670,-3042,-2716,-2565,-5,-151,0.05559646539027982
3P Brand,NV803671,-9045,-8076,-7018,-11,-1058,0.13100544824170382
3P Brand,NVAT101BL02,-5781,-5161,-4488,-6,-673,0.13040108506103468
3P Brand,NVAT101BL03,-6534,-5865,-4488,-6,-1377,0.23478260869565218
3P Brand,NVAT101BL04,-1220,-1090,0,0,-1090,1
3P Brand,NVAT101BL05,-838,-748,-748,-1,0,0
3P Brand,NVAT101BL06,126,112,0,0,112,1
3P Brand,NVAT101BL07,-963,-860,-748,-1,-112,0.13023255813953488
3P Brand,NVAT101BL08,-928,-829,0,0,-829,1
3P Brand,NVAT101BL09,-963,-860,-748,-1,-112,0.13023255813953488
3P Brand,NVAT101BL10,2558,2284,2244,3,40,0.017513134851138354
3P Brand,NVAT101BL11,-1927,-1720,-1496,-2,-224,0.13023255813953488
3P Brand,NVAT101RD03,-6090,-5438,-4488,-6,-950,0.17469657962486207
3P Brand,NVAT101RD04,-4367,-3900,-1496,-2,-2404,0.6164102564102564
3P Brand,NVAT101RD05,-4388,-3951,-3740,-5,-211,0.05340420146798279
3P Brand,NVAT101RD06,776,693,748,1,-55,-0.07936507936507936
3P Brand,NVAT101RD07,-3602,-3216,-2992,-4,-224,0.06965174129353234
3P Brand,NVAT101RD08,-963,-860,-748,-1,-112,0.13023255813953488
3P Brand,NVAT101RD09,915,817,748,1,69,0.08445532435740515
3P Brand,NVAT101RD10,-551,-492,0,0,-492,1
3P Brand,NVAT101RD11,-838,-748,-748,-1,0,0
3P Brand,NVAT1130BL05,-3242,-2894,-982,-1,-1912,0.6606772633033863
3P Brand,NVAT1130BL11,1632,1458,2946,3,-1488,-1.0205761316872428
3P Brand,NVAT130YL02,-2435,-2175,0,0,-2175,1
3P Brand,NVAT130YL03,12,11,1200,2,-1189,-108.0909090909091
3P Brand,NVAT130YL04,-1344,-1200,-1200,-2,0,0
3P Brand,NVAT130YL05,-770,-687,0,0,-687,1
3P Brand,NVAT130YL06,-773,-690,-600,-1,-90,0.13043478260869565
3P Brand,NVAT130YL07,978,873,1200,2,-327,-0.3745704467353952
3P Brand,NVAT130YL08,-2211,-1974,-600,-1,-1374,0.6960486322188449
3P Brand,NVAT130YL09,-773,-690,-600,-1,-90,0.13043478260869565
3P Brand,NVAT130YL10,101,90,0,0,90,1
3P Brand,NVAT130YL11,-773,-690,-600,-1,-90,0.13043478260869565
3P Brand,NVBB1174BG06,1993,1689,1469,1,220,0.13025458851391356
3P Brand,NVBB1174BG07,-7971,-6754,-4407,-3,-2347,0.3474977790938703
3P Brand,NVBB1174BG08,-19662,-16661,-8814,-6,-7847,0.4709801332453034
3P Brand,NVBB1174BG09,-1733,-1469,-1469,-1,0,0
3P Brand,NVBB1174BG10,-1438,-1219,0,0,-1219,1
3P Brand,NVBB1174BG11,-5945,-5038,-2938,-2,-2100,0.4168320762207225
3P Brand,NVBB1174BG12,-1473,-1249,-1469,-1,220,-0.17614091273018415
3P Brand,NVBB194,-26465,-23478,-18877,-43,-4601,0.19597069597069597
3P Brand,NVBB195,-16361,-14633,-10122,-21,-4511,0.3082758149388369
3P Brand,NVBB201,2029,1811,1575,3,236,0.13031474323578135
3P Brand,NVBB203,-1669,-1490,-922,-2,-568,0.3812080536912752
3P Brand,NVBB633,-20000,-17816,-14272,-64,-3544,0.19892231701841043
3P Brand,NVBB634,-76,-68,843,3,-911,13.397058823529411
3P Brand,NVBD1190BL03,1698,1517,1892,2,-375,-0.24719841793012526
3P Brand,NVBD1190BL04,2881,2689,2838,3,-149,-0.055410933432502786
3P Brand,NVBD1190BL05,6625,5915,4730,5,1185,0.2003381234150465
3P Brand,NVBD1190BL06,4428,3954,3784,4,170,0.042994436014162876
3P Brand,NVBD1190BL07,16204,14467,13244,14,1223,0.08453722264463952
3P Brand,NVBD1190BL08,3655,3264,2838,3,426,0.13051470588235295
3P Brand,NVBD1190BL09,1218,1088,946,1,142,0.13051470588235295
3P Brand,NVBD1190BL11,1854,1656,946,1,710,0.428743961352657
3P Brand,NVBD1190BL12,1377,1230,946,1,284,0.23089430894308943
3P Brand,NVBD1190RD03,34,31,946,1,-915,-29.516129032258064
3P Brand,NVBD1190RD04,-1616,-1443,0,0,-1443,1
3P Brand,NVBD1190RD05,1948,1797,946,1,851,0.47356705620478573
3P Brand,NVBD1190RD06,5139,4588,3784,4,804,0.17523975588491716
3P Brand,NVBD1190RD07,4132,3689,2838,3,851,0.23068582271618324
3P Brand,NVBD1190RD08,7946,7095,5676,6,1419,0.2
3P Brand,NVBD1190RD09,-2384,-2128,-2838,-3,710,-0.33364661654135336
3P Brand,NVBD1190RD12,4132,3689,2838,3,851,0.23068582271618324
3P Brand,NVBD1190WB03,1218,1088,946,1,142,0.13051470588235295
3P Brand,NVBD1190WB04,-1060,-946,-946,-1,0,0
3P Brand,NVBD1190WB05,7311,6527,5676,6,851,0.13038149226290793
3P Brand,NVBD1190WB06,11496,10264,7568,8,2696,0.2626656274356976
3P Brand,NVBD1190WB07,14145,12629,11352,12,1277,0.10111647794758097
3P Brand,NVBD1190WB08,1344,1200,1116,2,84,0.07
3P Brand,NVBD1190WB09,-1960,-1750,-1892,-2,142,-0.08114285714285714
3P Brand,NVBD1190WB10,-1215,-1085,0,0,-1085,1
3P Brand,NVBD1190WB11,2596,2318,1892,2,426,0.18377911993097498
3P Brand,NVBD1190YL03,1536,1372,946,1,426,0.3104956268221574
3P Brand,NVBD1190YL04,-496,-442,946,1,-1388,3.1402714932126696
3P Brand,NVBD1190YL05,4291,3831,2838,3,993,0.2592012529365701
3P Brand,NVBD1190YL06,5192,4635,3784,4,851,0.18360302049622437
3P Brand,NVBD1190YL07,3655,3264,2838,3,426,0.13051470588235295
3P Brand,NVBD1190YL08,6675,5960,5676,6,284,0.0476510067114094
3P Brand,NVBD1190YL09,-1218,-1088,-946,-1,-142,0.13051470588235295
3P Brand,NVBD1190YL10,-1873,-1672,0,0,-1672,1
3P Brand,NVBD1190YL11,1536,1372,946,1,426,0.3104956268221574
3P Brand,NVBD1190YL12,3073,2743,1892,2,851,0.3102442581115567
3P Brand,NVBD1191WH06,-1546,-1380,-1200,-2,-180,0.13043478260869565
3P Brand,NVBD1191WH07,-773,-690,-600,-1,-90,0.13043478260869565
3P Brand,NVBD1191WH09,0,0,0,0,0,NaN
3P Brand,NVBD6694B06,225,191,0,0,191,1
3P Brand,NVBD6694B07,678,575,1271,1,-696,-1.2104347826086956
3P Brand,NVBD6694B09,-1722,-1459,0,0,-1459,1
3P Brand,NVBD6694BB06,228,194,1271,1,-1077,-5.551546391752577
3P Brand,NVBD6694BB07,259,219,1271,1,-1052,-4.80365296803653
3P Brand,NVBD6694BB08,-5171,-4382,-2542,-2,-1840,0.4198995892286627
3P Brand,NVBD6694BB09,-3449,-2923,-2542,-2,-381,0.13034553540882654
3P Brand,NVBD6694PC06,6080,5154,6355,5,-1201,-0.23302289483896002
3P Brand,NVBD6694PC07,4128,3498,3813,3,-315,-0.09005145797598628
3P Brand,NVBD6694PC08,2178,1846,2542,2,-696,-0.37703141928494044
3P Brand,NVBG6853BKGR,1887,1599,5811,39,-4212,-2.6341463414634148
3P Brand,NVCR1188AW06,-2086,-1767,7495,5,-9262,5.2416525183927565
3P Brand,NVCR1188AW07,-13599,-11523,-4497,-3,-7026,0.6097370476438427
3P Brand,NVCR1188AW08,-8124,-6883,0,0,-6883,1
3P Brand,NVCR1188AW09,-16792,-14228,-4497,-3,-9731,0.6839330896823166
3P Brand,NVCR1188AW10,-6096,-5166,-1499,-1,-3667,0.7098335269066977
3P Brand,NVCR1188WR06,9096,7708,10493,7,-2785,-0.3613129216398547
3P Brand,NVCR1188WR07,-7770,-6584,0,0,-6584,1
3P Brand,NVCR1188WR08,-14162,-12001,-2998,-2,-9003,0.750187484376302
3P Brand,NVCR1188WR09,-14410,-12211,-8994,-6,-3217,0.26345098681516665
3P Brand,NVCR1188WR10,802,681,2998,2,-2317,-3.4023494860499266
3P Brand,NVCR382,-5341,-4769,-4000,-8,-769,0.1612497378905431
3P Brand,NVCR5929WG06,-12525,-11183,-9600,-15,-1583,0.1415541446838952
3P Brand,NVCR5929WG07,-1933,-1726,-640,-1,-1086,0.6292004634994206
3P Brand,NVCR5929WG08,-5185,-4661,-3200,-5,-1461,0.3134520489165415
3P Brand,NVCR5929WG09,-1922,-1748,1920,3,-3668,2.0983981693363845
3P Brand,NVCR5929WG10,-4441,-3966,-3200,-5,-766,0.19314170448814927
3P Brand,NVCR5929WG11,559,499,1280,2,-781,-1.565130260521042
3P Brand,NVCR5929WR06,-4281,-3857,3200,5,-7057,1.8296603577910293
3P Brand,NVCR5929WR07,-4791,-4279,-1920,-3,-2359,0.5512970320168263
3P Brand,NVCR5929WR08,251,141,2560,4,-2419,-17.156028368794328
3P Brand,NVCR5929WR09,51,44,2560,4,-2516,-57.18181818181818
3P Brand,NVCR5929WR10,1748,1519,4480,7,-2961,-1.9493087557603688
3P Brand,NVCR5929WR11,-2400,-2143,0,0,-2143,1
3P Brand,NVFB1157BL03,-1800,-1671,0,0,-1671,1
3P Brand,NVFB1157BL04,-3531,-3153,-2286,-3,-867,0.27497621313035203
3P Brand,NVFB1157BL05,-2615,-2335,0,0,-2335,1
3P Brand,NVFB1157BL07,562,502,762,1,-260,-0.5179282868525896
3P Brand,NVFB1157BL08,-1335,-1193,1524,2,-2717,2.27745180217938
3P Brand,NVFB1359OR,0,0,0,0,0,NaN
3P Brand,NVFB1361AR,204,182,182,1,0,0
3P Brand,NVFB1361BR,204,182,182,1,0,0
3P Brand,NVFB1379CB03,-7069,-5991,-5210,-5,-781,0.13036220998163914
3P Brand,NVFB1379CB04,-4540,-3847,-2084,-2,-1763,0.45827917858071227
3P Brand,NVFB1379CB05,-9863,-8358,-6252,-6,-2106,0.2519741564967696
3P Brand,NVFB1379CB06,-3627,-3073,-4168,-4,1095,-0.35632931988285066
3P Brand,NVFB1379CB07,-7522,-6374,-4168,-4,-2206,0.346093504863508
3P Brand,NVFB1379CB08,738,626,0,0,626,1
3P Brand,NVFB1379CB09,-1646,-1395,0,0,-1395,1
3P Brand,NVFB1379CB10,-2090,-1771,-2084,-2,313,-0.1767363071710898
3P Brand,NVFB1379CB11,-5306,-4497,-4168,-4,-329,0.07315988436735602
3P Brand,NVFB1642NGB05,-645,-576,-501,-1,-75,0.13020833333333334
3P Brand,NVFB1642NGB06,-610,-545,0,0,-545,1
3P Brand,NVFB1642NGB07,814,726,501,1,225,0.30991735537190085
3P Brand,NVFB1642NGB08,-2462,-2198,-1503,-3,-695,0.316196542311192
3P Brand,NVFB1642NGB09,1319,1177,501,1,676,0.5743415463041631
3P Brand,NVFB1642NGB10,-1169,-1043,0,0,-1043,1
3P Brand,NVFB1642NGB11,-1224,-1106,501,1,-1607,1.452983725135624
3P Brand,NVFB1642ORB05,-561,-501,-501,-1,0,0
3P Brand,NVFB1642ORB06,2720,2428,1503,3,925,0.38097199341021415
3P Brand,NVFB1642ORB07,1796,1603,1002,2,601,0.3749220212102308
3P Brand,NVFB1642ORB08,-1206,-1077,-1002,-2,-75,0.06963788300835655
3P Brand,NVFB1642ORB09,-1171,-1046,-501,-1,-545,0.5210325047801148
3P Brand,NVFB1642ORB10,-1088,-971,-501,-1,-470,0.4840370751802266
3P Brand,NVFB1642ORB11,-727,-649,501,1,-1150,1.7719568567026194
3P Brand,NVFB1643NGB03,-4185,-3760,-1060,-2,-2700,0.7180851063829787
3P Brand,NVFB1643NGB04,165,80,0,0,80,1
3P Brand,NVFB1643NGB05,1397,1247,2120,4,-873,-0.7000801924619086
3P Brand,NVFB1643NGB06,1699,1517,2120,4,-603,-0.3974950560316414
3P Brand,NVFB1643NGB07,2226,1988,1590,3,398,0.20020120724346077
3P Brand,NVFB1643NGB08,4131,3688,3710,7,-22,-0.00596529284164859
3P Brand,NVFB1643NGB09,-2042,-1823,-530,-1,-1293,0.7092704333516182
3P Brand,NVFB1643NGB10,89,80,0,0,80,1
3P Brand,NVFB1643ORB03,1989,1776,1060,2,716,0.40315315315315314
3P Brand,NVFB1643ORB04,356,318,0,0,318,1
3P Brand,NVFB1643ORB05,3354,2995,2120,4,875,0.2921535893155259
3P Brand,NVFB1643ORB06,-1689,-1508,-1060,-2,-448,0.29708222811671087
3P Brand,NVFB1643ORB07,2474,2209,2650,5,-441,-0.19963784517881394
3P Brand,NVFB1643ORB08,629,561,1060,2,-499,-0.8894830659536542
3P Brand,NVFB1643ORB09,1721,1537,1060,2,477,0.3103448275862069
3P Brand,NVFB1643ORB10,1073,958,1060,2,-102,-0.10647181628392484
3P Brand,NVFB1643RBO03,-213,-190,0,0,-190,1
3P Brand,NVFB1643RBO04,-683,-610,-530,-1,-80,0.13114754098360656
3P Brand,NVFB1643RBO05,-1365,-1219,-1060,-2,-159,0.13043478260869565
3P Brand,NVFB1643RBO06,1455,1299,1590,3,-291,-0.22401847575057737
3P Brand,NVFB1643RBO07,-1568,-1400,-1060,-2,-340,0.24285714285714285
3P Brand,NVFB1643RBO08,1395,1246,530,1,716,0.5746388443017657
3P Brand,NVFB1643RBO09,1137,1016,2120,4,-1104,-1.0866141732283465
3P Brand,NVFB1643RBO10,-3623,-3258,-530,-1,-2728,0.8373235113566605
3P Brand,NVFB1643RBO11,7509,6705,5830,11,875,0.13049962714392244
3P Brand,NVFB1650HG06,84,75,0,0,75,1
3P Brand,NVFB1650HG07,-1291,-1152,-1002,-2,-150,0.13020833333333334
3P Brand,NVFB1650HG08,-2008,-1793,0,0,-1793,1
3P Brand,NVFB1650HG09,2874,2566,3507,7,-941,-0.3667186282151208
3P Brand,NVFB1650RB06,-1901,-1697,-1002,-2,-695,0.40954625810253387
3P Brand,NVFB1650RB07,-359,-320,501,1,-821,2.565625
3P Brand,NVFB1650RB08,-645,-576,-501,-1,-75,0.13020833333333334
3P Brand,NVFB1650RB09,-645,-576,-501,-1,-75,0.13020833333333334
3P Brand,NVFB1650WH07,-645,-576,-501,-1,-75,0.13020833333333334
3P Brand,NVFB1650WH08,-1291,-1152,-1002,-2,-150,0.13020833333333334
3P Brand,NVFB1650WH09,-1291,-1152,-1002,-2,-150,0.13020833333333334
3P Brand,NVFB292,-17576,-15694,-11552,-16,-4142,0.2639225181598063
3P Brand,NVFB353,-8434,-7531,-3341,-13,-4190,0.5563670163324924
3P Brand,NVFB354,-6557,-5856,-2056,-8,-3800,0.6489071038251366
3P Brand,NVFB354OR,-33461,-29856,-26214,-102,-3642,0.1219855305466238
3P Brand,NVFB3933WH03,-2527,-2256,-1612,-2,-644,0.2854609929078014
3P Brand,NVFB3933WH04,-4709,-4205,-2418,-3,-1787,0.42497027348394767
3P Brand,NVFB3933WH05,-1807,-1614,0,0,-1614,1
3P Brand,NVFB3933WH06,3045,2719,4030,5,-1311,-0.48216255976461936
3P Brand,NVFB3933WH07,-994,-887,2418,3,-3305,3.726042841037204
3P Brand,NVFB3933WH08,-1796,-1603,806,1,-2409,1.5028072364316907
3P Brand,NVFB3933WH09,1315,1175,2418,3,-1243,-1.057872340425532
3P Brand,NVFB3933WH10,-459,-410,806,1,-1216,2.9658536585365853
3P Brand,NVFB3938OR05,-16915,-14335,-12465,-9,-1870,0.13044994768050228
3P Brand,NVFB3938OR06,-10901,-9238,-5540,-4,-3698,0.40030309590820523
3P Brand,NVFB3938OR07,-4021,-3407,-1385,-1,-2022,0.5934840035221602
3P Brand,NVFB3938OR08,-9712,-8230,-4155,-3,-4075,0.4951397326852977
3P Brand,NVFB3938OR09,-9907,-8395,-4155,-3,-4240,0.5050625372245384
3P Brand,NVFB3938OR10,-536,-454,1385,1,-1839,4.0506607929515415
3P Brand,NVFB3938PG05,-5066,-4293,0,0,-4293,1
3P Brand,NVFB3938PG06,-8864,-7512,-2770,-2,-4742,0.6312566560170394
3P Brand,NVFB3938PG07,-10014,-8486,1385,1,-9871,1.163209992929531
3P Brand,NVFB3938PG08,-7228,-6125,0,0,-6125,1
3P Brand,NVFB3938PG09,-9186,-7784,-1385,-1,-6399,0.8220709146968139
3P Brand,NVFB3938PG10,-2762,-2340,1385,1,-3725,1.5918803418803418
3P Brand,NVFB3939GD05,-9120,-7729,-2846,-2,-4883,0.6317764264458533
3P Brand,NVFB3939GD07,-8004,-6783,1423,1,-8206,1.2097891788294266
3P Brand,NVFB3939GD08,2385,2021,2846,2,-825,-0.4082137555665512
3P Brand,NVFB3939GD09,-7639,-6473,-1423,-1,-5050,0.7801637571450641
3P Brand,NVFB4045GR,-196,-175,-152,-1,-23,0.13142857142857142
3P Brand,NVFB4045RD,562,502,456,3,46,0.09163346613545817
3P Brand,NVFB4045YB,536,479,1368,9,-889,-1.8559498956158664
3P Brand,NVFB5607,-21991,-19635,-20400,-8,765,-0.03896103896103896
3P Brand,NVFB5935GB05,333,282,0,0,282,1
3P Brand,NVFB5935GB06,4220,3577,3762,2,-185,-0.051719317864131954
3P Brand,NVFB5935GB07,2371,2010,5643,3,-3633,-1.8074626865671641
3P Brand,NVFB5935GB08,1034,876,1881,1,-1005,-1.1472602739726028
3P Brand,NVFB5935GB09,-1221,-1035,-1881,-1,846,-0.8173913043478261
3P Brand,NVFB5935GB10,-4772,-4044,-3762,-2,-282,0.06973293768545995
3P Brand,NVFB5935GB11,-5105,-4326,-1881,-1,-2445,0.5651872399445215
3P Brand,NVFB8521,-13184,-11771,-10510,-5,-1261,0.10712768668762213
3P Brand,NVFB8525AISL,-2351,-2099,0,0,-2099,1
3P Brand,NVFR562,82,74,64,1,10,0.13513513513513514
3P Brand,NVFR563,-67,-54,-47,-1,-7,0.12962962962962962
3P Brand,NVGG1144LBK,-942,-798,-694,-2,-104,0.13032581453634084
3P Brand,NVGG1148LBK,-1749,-1482,0,0,-1482,1
3P Brand,NVGG1148MBK,1533,1300,4224,6,-2924,-2.249230769230769
3P Brand,NVGG1148SBK,252,214,704,1,-490,-2.289719626168224
3P Brand,NVGG1149L,-3186,-2700,-2700,-4,0,0
3P Brand,NVGG1149MBK,-10394,-8809,-8100,-12,-709,0.08048586672721081
3P Brand,NVGG1149SBK,2788,2363,1350,2,1013,0.4286923402454507
3P Brand,NVGG1236L,-2551,-2278,-1930,-5,-348,0.1527655838454785
3P Brand,NVGG1236M,1389,1241,1158,3,83,0.06688154713940371
3P Brand,NVGG1236S,-889,-794,0,0,-794,1
3P Brand,NVGG1236XL,317,283,2316,6,-2033,-7.18374558303887
3P Brand,NVGG1236XS,-1587,-1417,-772,-2,-645,0.45518701482004237
3P Brand,NVGG1237L,1314,1173,1800,2,-627,-0.5345268542199488
3P Brand,NVGG1237M,2923,2610,1800,2,810,0.3103448275862069
3P Brand,NVGG1237S,-2315,-2067,-900,-1,-1167,0.5645863570391872
3P Brand,NVGG1238LBK,-2720,-2429,-2112,-3,-317,0.13050638122684233
3P Brand,NVGG1238MBK,4455,3978,2816,4,1162,0.2921065862242333
3P Brand,NVGG1238SBK,-1813,-1619,-1408,-2,-211,0.13032736256948735
3P Brand,NVGG1242M,-1865,-1665,-1800,-2,135,-0.08108108108108109
3P Brand,NVGG1242S,306,273,900,1,-627,-2.2967032967032965
3P Brand,NVGG437L1,275,262,228,1,34,0.1297709923664122
3P Brand,NVGG437L2,1699,1585,1140,5,445,0.2807570977917981
3P Brand,NVGG437M1,-826,-787,-684,-3,-103,0.13087674714104194
3P Brand,NVGG437M2,-309,-262,-228,-1,-34,0.1297709923664122
3P Brand,NVGG4775LBR,-2091,-1539,-1578,-6,39,-0.025341130604288498
3P Brand,NVGG4775LGG,1505,1442,1841,7,-399,-0.2766990291262136
3P Brand,NVGG4775MBR,318,302,263,1,39,0.1291390728476821
3P Brand,NVGG4776L1,-473,-361,-314,-1,-47,0.13019390581717452
3P Brand,NVGG4776XL1,-242,-126,-314,-1,188,-1.492063492063492
3P Brand,NVGG4785LBG,-5052,-4528,-4212,-4,-316,0.06978798586572438
3P Brand,NVGG4785MBG,3231,2738,2106,2,632,0.2308254200146092
3P Brand,NVGG4786LBK,1182,1001,1178,1,-177,-0.17682317682317683
3P Brand,NVGG4787L1,-1147,-1160,-1929,-3,769,-0.6629310344827586
3P Brand,NVGG4787M1,1595,1352,643,1,709,0.5244082840236687
3P Brand,NVGG4787S1,-497,-421,0,0,-421,1
3P Brand,NVGG4788M1,-45,-6,0,0,-6,1
3P Brand,NVGG645,1511,1350,1551,3,-201,-0.14888888888888888
3P Brand,NVGG692L1,-125,79,-397,-1,476,6.025316455696203
3P Brand,NVGG692L2,1209,1350,397,1,953,0.705925925925926
3P Brand,NVGG692M1,484,596,0,0,596,1
3P Brand,NVGG692M2,7138,6375,5161,13,1214,0.1904313725490196
3P Brand,NVGG692S1,511,457,397,1,60,0.13129102844638948
3P Brand,NVGG692S2,4157,3732,2779,7,953,0.2553590568060021
3P Brand,NVGG695LBG,-1126,-1006,-876,-4,-130,0.12922465208747516
3P Brand,NVGG695MBG,918,820,657,3,163,0.19878048780487806
3P Brand,NVGG695SBG,-245,-219,-219,-1,0,0
3P Brand,NVGG695XLBG,-282,-251,-219,-1,-32,0.12749003984063745
3P Brand,NVGG703L1,31,171,0,0,171,1
3P Brand,NVGG703L2,47,257,0,0,257,1
3P Brand,NVGG703M1,688,656,570,2,86,0.13109756097560976
3P Brand,NVGG703M2,47,257,0,0,257,1
3P Brand,NVGG709L,-659,-588,0,0,-588,1
3P Brand,NVGG709M,-1392,-1179,-514,-1,-665,0.5640373197625106
3P Brand,NVGG709S,-1324,-1182,-1028,-2,-154,0.13028764805414553
3P Brand,NVGG710L1,-191,-118,0,0,-118,1
3P Brand,NVGG710L2,1521,1462,1026,6,436,0.2982216142270862
3P Brand,NVGG710L3,0,0,0,0,0,NaN
3P Brand,NVGG710L4,977,915,684,4,231,0.25245901639344265
3P Brand,NVGG710M1,0,0,1026,6,-1026,Infinity
3P Brand,NVGG710M2,38,205,0,0,205,1
3P Brand,NVGG710M3,-213,-94,-171,-1,77,-0.8191489361702128
3P Brand,NVGG710M4,19,103,0,0,103,1
3P Brand,NVGG710S1,-232,-197,-171,-1,-26,0.1319796954314721
3P Brand,NVGG710S2,298,556,171,1,385,0.6924460431654677
3P Brand,NVGG710S3,413,393,342,2,51,0.1297709923664122
3P Brand,NVGG710S4,2574,2420,1881,11,539,0.22272727272727272
