business_category,item_code,total_amount,base_amount,total_nlc,units,gm,gm_percent
Apparel,CS700245XL,11946,11377,12980,22,-1603,-0.14089830359497232
Apparel,CS700245XXL,485,462,0,0,462,1
Apparel,CS700246L,36546,34806,33783,51,1023,0.029391484226857438
Apparel,CS700246M,62376,59406,61604,93,-2198,-0.036999629667037
Apparel,CS700246S,49739,47957,53222,89,-5265,-0.10978584982380049
Apparel,CS700246XL,28598,27236,25834,39,1402,0.051475987663386694
Apparel,CS700246XXL,-3105,-2957,2392,4,-5349,1.8089279675346635
Apparel,CS700247L,48047,45185,49634,83,-4449,-0.09846187894212681
Apparel,CS700247M,51172,49759,56212,94,-6453,-0.1296850820957013
Apparel,CS700247S,32843,31279,44850,75,-13571,-0.43386936922535885
Apparel,CS700247XL,8907,7953,6578,11,1375,0.17289073305670816
Apparel,CS700247XXL,233,222,-592,-1,814,3.6666666666666665
Apparel,CS700248L,-8949,-8523,-2364,-4,-6159,0.7226328757479761
Apparel,CS700248M,32217,30683,31914,54,-1231,-0.04011993612097904
Apparel,CS700248S,30360,28914,36051,61,-7137,-0.2468354430379747
Apparel,CS700248XL,21435,20284,18912,32,1372,0.0676395188325774
Apparel,CS700248XXL,6014,5728,5319,9,409,0.0714036312849162
Apparel,CS700249L,60420,57543,57327,97,216,0.0037537146134195296
Apparel,CS700249M,80509,76675,75648,128,1027,0.013394196283012716
Apparel,CS700249S,57003,54288,57918,98,-3630,-0.06686560565870911
Apparel,CS700249XL,31710,30200,30141,51,59,0.0019536423841059604
Apparel,CS700249XXL,5295,5043,4137,7,906,0.17965496728138014
Apparel,CS700250L,1033,983,734,2,249,0.2533062054933876
Apparel,CS700250S,-32,-31,0,0,-31,1
Apparel,CS700250XXL,533,508,367,1,141,0.27755905511811024
Apparel,CS700251L,433,412,367,1,45,0.10922330097087378
Apparel,CS700251M,-744,-709,734,2,-1443,2.0352609308885756
Apparel,CS700251S,-428,-407,0,0,-407,1
Apparel,CS700251XL,-358,-341,0,0,-341,1
Apparel,CS700251XXL,-124,-119,0,0,-119,1
Apparel,CS700252L,-4500,-4286,-377,-1,-3909,0.9120391973868409
Apparel,CS700252M,738,702,377,1,325,0.46296296296296297
Apparel,CS700252S,166,158,0,0,158,1
Apparel,CS700252XL,-382,-364,-377,-1,13,-0.03571428571428571
Apparel,CS700253L,-9742,-9278,-1885,-5,-7393,0.7968312136236257
Apparel,CS700253M,-10026,-9549,-1131,-3,-8418,0.8815582783537543
Apparel,CS700253S,-2522,-2402,0,0,-2402,1
Apparel,CS700253XL,-4662,-4440,-754,-2,-3686,0.8301801801801801
Apparel,CS700253XXL,-2808,-2674,-1131,-3,-1543,0.5770381451009723
Apparel,CS700254L,-1344,-1280,-1688,-4,408,-0.31875
Apparel,CS700254M,999,892,1266,3,-374,-0.4192825112107623
Apparel,CS700254XL,-437,-390,0,0,-390,1
Apparel,CS700254XXL,-490,-438,0,0,-438,1
Apparel,CS700255L,-60,-57,3376,8,-3433,60.228070175438596
Apparel,CS700255M,-509,-454,844,2,-1298,2.859030837004405
Apparel,CS700255S,-2917,-2605,-844,-2,-1761,0.6760076775431861
Apparel,CS700255XL,-3050,-2723,0,0,-2723,1
Apparel,CS700255XXL,-749,-669,0,0,-669,1
Apparel,CS700256L,-103,-98,-360,-1,262,-2.673469387755102
Apparel,CS700256M,344,307,0,0,307,1
Apparel,CS700256S,1305,1165,720,2,445,0.38197424892703863
Apparel,CS700256XL,862,770,360,1,410,0.5324675324675324
Apparel,CS700256XXL,854,814,720,2,94,0.11547911547911548
Apparel,CS700257L,-2869,-2780,-360,-1,-2420,0.8705035971223022
Apparel,CS700257M,-3609,-3437,0,0,-3437,1
Apparel,CS700257XL,-2284,-2176,-360,-1,-1816,0.8345588235294118
Apparel,CS700257XXL,-2605,-2481,-720,-2,-1761,0.7097944377267231
Apparel,CS700258XL,-140,-133,-302,-1,169,-1.2706766917293233
Apparel,CS700259L,-306,-292,-393,-1,101,-0.3458904109589041
Apparel,CS700259M,8,8,0,0,8,1
Apparel,CS700259S,361,344,302,1,42,0.12209302325581395
Apparel,CS700259XL,-950,-904,-786,-2,-118,0.13053097345132744
Apparel,CS700260L,-958,-913,0,0,-913,1
Apparel,CS700260M,470,420,301,1,119,0.2833333333333333
Apparel,CS700260XL,-849,-808,-301,-1,-507,0.6274752475247525
Apparel,CS700260XXL,47,45,0,0,45,1
Apparel,CS700261L,-1076,-1025,301,1,-1326,1.293658536585366
Apparel,CS700261M,-134,-128,0,0,-128,1
Apparel,CS700261S,-427,-407,-393,-1,-14,0.0343980343980344
Apparel,CS700263L,1026,916,662,2,254,0.27729257641921395
Apparel,CS700263M,448,400,408,1,-8,-0.02
Apparel,CS700264L,1106,1053,786,2,267,0.2535612535612536
Apparel,CS700264M,-460,-438,-393,-1,-45,0.10273972602739725
Apparel,CS700264S,99,94,0,0,94,1
Apparel,CS700264XXL,1601,1525,1572,4,-47,-0.03081967213114754
Apparel,CS700265M,-821,-733,-393,-1,-340,0.4638472032742155
Apparel,CS700265S,-799,-713,-439,-1,-274,0.38429172510518933
Apparel,CS700265XL,61,58,0,0,58,1
Apparel,CS700293L,102457,96920,65604,97,31316,0.3231118448204705
Apparel,CS700293M,38840,36979,14191,23,22788,0.6162416506665945
Apparel,CS700293S,27017,25730,16872,24,8858,0.3442673921492421
Apparel,CS700293XL,39606,37720,24075,39,13645,0.3617444326617179
Apparel,CS700293XXL,95441,90896,69757,113,21139,0.23256248899841578
Apparel,CS700294L,81371,76708,56176,91,20532,0.26766438963341505
Apparel,CS700294M,52457,49844,33041,47,16803,0.33711178878099674
Apparel,CS700294S,19299,18038,7404,12,10634,0.589533207672691
Apparel,CS700294XL,45819,43589,30866,50,12723,0.2918855674596802
Apparel,CS700294XXL,49540,44285,29014,47,15271,0.34483459410635653
Apparel,CS700295L,55487,52996,30866,50,22130,0.41757868518378743
