city,total_gmv
Khairagarh,8598.0
BARWALA,8499.0
Bajali,8499.0
ALWAR,8499.0
Bangalore South,8492.0
BHAGALPUR,8367.0
Pondicherry,8292.0
Panchkula,8211.0
Vijayawada,8060.0
KURNOOL,7993.0
RaigarhMH,7923.0
NORTH,7851.0
BHAVNAGAR,7765.0
GANJAM,7749.0
Amravati,7742.0
Valsad,7722.0
Bagpat,7698.0
MEDINIPUR WEST,7634.0
Solapur,7633.0
Bapatla,7575.0
Banka,7550.0
NORTH EAST,7529.0
KARIMNAGAR,7494.0
Chickmagalur,7419.0
Faizabad,7407.0
Rohtak,7283.0
MUZAFFARNAGAR,7263.0
FIROZABAD,7236.0
KOLHAPUR,7190.0
Belgaum,7114.0
Nilgiris,7075.0
East Singhbhum,7026.0
AHMEDNAGAR,7012.0
Jharsuguda,6999.0
Hanamakonda,6999.0
KARUR,6904.0
TIRUPPUR,6818.0
Noida,6774.0
ETAWAH,6499.0
Bangaluru,6498.0
NAMAKKAL,6467.0
Namakkal,6455.0
Greater Noida,6255.0
Dhanbad,6202.0
Halisahar,6157.0
Palghar,6048.0
Varanasi,5981.0
Sangareddy,5953.0
ERODE,5946.0
Sri Sathya Sai,5896.0
JALPAIGURI,5805.0
KHARGONE,5797.0
पुणे,5753.0
UDAM SINGH NAGAR,5743.0
TIRUCHIRAPPALLI,5725.0
NEW TOWN North 24 Parganas,5698.0
Balagere road,5693.0
KANNUR,5623.0
Kurukshetra,5599.0
Siliguri,5543.0
DURG,5504.0
Gulbarga,5493.0
DHANBAD,5436.0
hyderabad,5355.0
GADAG,5334.0
Jalandhar,5295.0
Palnadu,5276.0
Jodhpur,5257.0
Thiruvananthapuram,5209.0
Amritsar,5194.0
Bikaner,5155.0
Hospet,4997.0
bangalore,4954.0
Warangal,4932.0
Zirakpur,4886.0
Rewari,4884.0
BAGALKOT,4846.0
Bengaluru Urban,4846.0
CUDDALORE,4835.0
Anakapalli,4805.0
Kakinada,4697.0
EAST KHASI HILLS,4664.0
Guna,4656.0
Nanded,4655.0
VIRUDHUNAGAR,4634.0
THANJAVUR,4625.0
Mohali,4614.0
Thrissur,4605.0
GUMLA,4597.0
HOSHIARPUR,4596.0
GWALIOR,4536.0
Pragathinagar - Hyderabad,4504.0
KANGRA,4498.0
Dibrugarh,4485.0
Yamuna Nagar,4476.0
West Midnapore,4387.0
NALGONDA,4385.0
JHALAWAR,4367.0
Ganjam,4352.0
Kolkata- 700161,4317.0
Bhubaneswar,4303.0
PASCHIM BARDHAMAN,4267.0
Shahjahanpur,4237.0
KHAMMAM,4207.0
Bhiwadi,4196.0
KANNIYAKUMARI,4184.0
SOUTH GOA,4161.0
BALRAMPUR,4155.0
Durg,4117.0
NIZAMABAD,4045.0
SINGRAULI,4028.0
TNGOS COLONY Hyderabad,4015.0
Virar,4014.0
Peer muchchalla,3994.0
Kushinagar,3994.0
JAMUI,3948.0
thane,3925.0
Jhabua,3905.0
RAISEN,3895.0
Tuticorin,3886.0
NAVSARI,3823.0
Barasat,3816.0
RAICHUR,3794.0
Byadagi,3782.0
Mangalore,3764.0
budhagumpa,3738.0
DAUSA,3698.0
DAVANGERE,3657.0
KACHCHH,3655.0
Ratlam,3648.0
Durgapur,3648.0
TUMAKURUll,3611.0
Udupi,3604.0
Agartala,3598.0
VIJAYAPURA,3595.0
WAYANAD,3593.0
PATHANAMTHITTA,3557.0
SHIMLA,3516.0
Korba,3457.0
Roorkee,3455.0
Tinsukia,3426.0
MATHURA,3404.0
Bangalore Division,3396.0
K.V.Rangareddy hyderabad,3393.0
Cuttack,3386.0
HARIDWAR,3363.0
Bareilly,3347.0
Sangli,3317.0
Nagarjunasagar,3298.0
Erode,3242.0
Housr,3219.0
Ranipet,3164.0
SONEPUR,3163.0
MAHOBA,3146.0
Hoshiarpur,3128.0
Bangalore North,3117.0
GHAZIPUR,3107.0
Bhiwani,3107.0
Bilaspur(CGH),3087.0
Karbi Anglong,3058.0
ROURKELA,3046.0
MAHARAJGANJ,3034.0
Budgam,3032.0
Ranchi,3018.0
Jamnagar,2999.0
GARHWA,2998.0
pulithivakkam,2976.0
UTTARA KANNADA,2975.0
Raxaul,2957.0
EAST SINGHBUM,2952.0
Guwahati,2947.0
HOOGHLY,2925.0
Shalimar Bagh North West Delhi,2907.0
SURAJPUR,2902.0
Kachchh,2898.0
MANDSAUR,2888.0
NAINITAL,2827.0
Malappuram,2826.0
Prakasam,2797.0
Nirmal,2787.0
Kanyakumari,2776.0
Egmore Nungambakkam,2737.0
Telangana,2726.0
Banger,2725.0
Berhampur,2706.0
SINDHUDURG,2698.0
Sundergarh,2693.0
Tirupati district,2675.0
BIRBHUM,2657.0
Idukki,2617.0
Jaggayyapeta NTR District,2615.0
GAYA,2586.0
North 24 parganas,2576.0
JAMNAGAR,2563.0
Kodagu,2527.0
vasai west,2517.0
West Garo Hills,2499.0
BALLIA,2499.0
k.v.rangareddy,2499.0
ETAH,2499.0
Anand,2499.0
SOUTH SALMARA MANCACHAR,2499.0
SULTANPUR,2477.0
KORAPUT,2427.0
Karol bagh,2399.0
Annamayya,2398.0
Chandrapur,2388.0
AJMER,2378.0
KOLLAM,2376.0
Lunglei,2349.0
Saroornagar,2346.0
Miyapur,2299.0
Jhansi,2298.0
Narsinghpur,2297.0
Calicut,2267.0
Kottayam,2257.0
South Patel nagar delhi,2251.0
Kadapa,2249.0
SONITPUR,2239.0
Tambaram Sanitorium,2237.0
Bhiwandi,2199.0
Hyderabad kompally,2199.0
Bardhaman,2199.0
Greater Noida Wet,2199.0
BHIND,2199.0
Mahoba,2198.0
Hosur,2178.0
Mainpuri,2167.0
Theni,2158.0
Mandya,2154.0
Gurgaon sector 49,2138.0
Golaghat,2118.0
HANUMANGARH,2099.0
BARRACKPORE (North),2099.0
MAHESANA,2099.0
Dewas,2099.0
Amreli,2099.0
Colaba,2099.0
BARNALA,2098.0
Unnao,2098.0
Alwar,2049.0
UDAIPUR,2049.0
KENDUJHAR,2038.0
DEHRADUN,2034.0
Gautam Buddha Nagar( Greater Noida West ),1999.0
Lower Parel,1999.0
KATNI,1999.0
RAMGARH,1999.0
Kharar,1998.0
Jhujhunu,1988.0
CHIKKABALLAPURA,1976.0
Singrauli,1949.0
AKOLA,1949.0
GONDIA,1948.0
SHAHDARA,1943.0
VARANASI,1936.0
ANGUL,1918.0
Jalgoan,1918.0
Hardoi,1899.0
Khamgaon,1899.0
Udgir. LATUR,1899.0
Kapurthala,1899.0
Samastipur,1899.0
Sabarkantha,1899.0
MADHUBANI,1899.0
Hubballi,1899.0
Deoria,1899.0
Siwan,1899.0
Haridwar,1899.0
Delta 2 g block gr noida,1899.0
YADADRI BHUVANAGIRI,1899.0
JALANDHAR,1882.0
ANAND,1867.0
BANDA,1858.0
Mumbai Suburban,1849.0
Dadra nagar haveli,1849.0
Pune Division,1845.0
Leh,1839.0
East Champaran,1799.0
SIKAR,1799.0
RAJANNA SIRCILLA,1799.0
Mandi Dabwali,1799.0
SHAHDOL,1799.0
VIDISHA,1790.0
YADGIR,1757.0
SRIKAKULAM,1746.0
Chittoor,1723.0
Akola,1721.0
Noida sector 22,1718.0
Attibele,1706.0
S.A.S NAGAR,1699.0
DIMAPUR,1699.0
Medak Hyderabad,1699.0
SAMASTIPUR,1699.0
Pitampura,1699.0
AMRAVATI,1699.0
Madhupur,1699.0
Sindhanur,1699.0
Hyderabad.,1699.0
Jagatsinghapur,1699.0
Krishnagiri,1697.0
Hubli,1679.0
VIJAYNAGAR,1668.0
DARJEELING,1643.0
Chamrajnagar,1622.0
SOUTH East,1618.0
Jehanabad,1609.0
EAST DISTRICT,1599.0
LATUR,1599.0
Bijoliya,1599.0
Kollur,1599.0
Howrah,1598.0
WEST JAINTIA HILLS,1578.0
PURNIA,1574.0
Sagar,1568.0
PATHANKOT,1568.0
SOUTH WEST,1557.0
Medchal Malkajgiri Dist,1557.0
SEHORE,1556.0
Binnaguri,1549.0
SOUTH DELHI,1549.0
Thane Navi Mumbai Nerul Seawoods east,1548.0
CHIKKABALLAPURA District,1548.0
CHANDAULI,1546.0
Kanpur nagar,1539.0
West Delhil,1539.0
JHAJJAR,1539.0
MEDAK,1527.0
Gorakhpur,1519.0
bankura,1519.0
Mumbai Bhandup,1499.0
DIBRUGARH,1499.0
Ameenpur,1499.0
Vasai west,1499.0
Chhindwara,1498.0
East Siang,1489.0
Kozhikode,1473.0
Sivakasi,1439.0
Chengalpattu - Kanchipuram District,1438.0
JALGAON,1432.0
Kolhapur,1417.0
Pune City,1406.0
BULDHANA,1399.0
Secunderabadd,1398.0
NASHIK,1398.0
HASSAN,1398.0
KABIRDHAM,1349.0
Bathinda,1347.0
BHADOHI,1338.0
Kullu,1318.0
RAIPUR,1298.0
Pimpri-Chinchwad,1276.0
SATNA,1259.0
Kurinjikkattu,1259.0
KAMRUP,1249.0
Nellore,1248.0
GANDHINAGAR,1230.0
Hydrabad,1228.0
East Sikkim,1219.0
Ambala,1219.0
SARAIKELA KHARSAWAN,1209.0
ROHTAS,1204.0
Mumbai Hiranandani powai,1199.0
Nayagarh,1199.0
Rajpipla,1199.0
IMPHAL WEST,1198.0
Andheri East,1198.0
Vasai,1190.0
Patancheru,1188.0
BANAS KANTHA,1179.0
Tezpur,1169.0
Gautam Budh Nagar,1168.0
SOUTH EAST DELHI,1159.0
KHAGARIA,1158.0
Amethi,1138.0
Delhi-NCR,1137.0
Madanapalli,1134.0
VALSAD,1128.0
Jaigaon,1119.0
PATIALA,1118.0
R-206 Hm tambourine appartment jaraganahalli,1099.0
NALANDA,1099.0
Vellore,1098.0
BEED,1097.0
Kakrola Dwarka,1096.0
Murshidabad,1090.0
Halvad,1089.0
Gandhinagar,1079.0
RAIGARH,1079.0
Kokapet,1079.0
raebareli,1079.0
Jamshedpur,1079.0
Panipat,1058.0
SANT KABEER NAGAR,1057.0
Srinagar Garhwal,1049.0
South Goa,1048.0
SAGAR,1038.0
Kukatpally,1038.0
Begumpet Hyderabad,1037.0
Sikar,1022.0
UDALGURI,999.0
JOGULAMBA GADWAL,999.0
KOTA,999.0
Kendrapara,999.0
Greater Noida West,999.0
Bilaspur(CG),999.0
CACHAR,999.0
Garhshankar,999.0
PRAGATI NAGAR,988.0
Dhalai,983.0
Ghazipur,979.0
Rampally,978.0
Jalgaon,959.0
Narasaraopet,949.0
Kalyan,949.0
NOIDA,948.0
Hubli KMC,939.0
PUNE Chikhali,934.0
Srikakulam,903.0
S.A.S Nagar,899.0
Mangloona,899.0
Bijapur(KAR),899.0
SIWAN,899.0
YAVATMAL,899.0
PALAKKAD,899.0
KALIMPONG,899.0
ATTAPUR,898.0
Nandyal,884.0
JORHAT,880.0
PURI,879.0
Suchitra,879.0
Ganganagar,878.0
Diamond Harbour,868.0
KHB colony Basaveshwara nagar,863.0
Borabanda,859.0
NARMADA,858.0
Nadia,849.0
IDUKKI,849.0
Hyd,839.0
NABARANGPUR,838.0
PEDDAPALLI,838.0
Sangamner,831.0
Begumpet,827.0
SOUTH ANDAMANS,826.0
WARDHA,819.0
PURULIA,819.0
CHHOTAUDEPUR,799.0
hydreabad,799.0
VIKARABAD,799.0
Pateri chouraha satna m. P.,799.0
FAZILKA,791.0
Chennai nolambur,791.0
Karohibanahalli,759.0
Arvi,751.0
Uttara Kannada,749.0
KASARAGOD,738.0
SIDDHARTH NAGAR,729.0
new delhi,729.0
RANGA REDDY Nagar,727.0
Allagadda,719.0
Kanekal,711.0
Rajpura,699.0
MAYILADUTHURAI,699.0
Dhar,699.0
Bhainsa,699.0
Amberpet,699.0
Tikamgarh,699.0
SUPAUL,699.0
KOTTAYAM,699.0
Phulbani,699.0
AMBALA CANTT,698.0
VISAKHAPATNAM,689.0
Raja Pushpa Regalia,687.0
SANGLI,687.0
REWA,679.0
Guntakal,678.0
CHITTORGARH,669.0
gurgaon,659.0
SABAR KANTHA,659.0
Kangra,643.0
Rajendranagar,639.0
Bhadrak,639.0
Pollachi,629.0
City,629.0
Mandir marg NEW DELHI,618.0
Hafeezpeth Hyderabad,615.0
Mayurbhanj,609.0
NOWGONG,609.0
Tiruchengode,599.0
Jaggampeta,599.0
VILLUPURAM,599.0
Shillong,599.0
CHHINDWARA,599.0
Habsiguda,598.0
HamirpurHP,569.0
Sambalpur,549.0
SHIVPURI,549.0
Rajpur,549.0
NADIA,549.0
Imphal West,549.0
Karur,548.0
Ahmed Nagar,538.0
Thane west.,531.0
South Andaman,529.0
BALODA BAZAR,529.0
