majority_service,total_gmv,percentage
OTHERS,198977136,0.523630971947784
GYM,69561234,0.18305830157947012
GX,44744914,0.11775133203012837
HYBRID_GYM,33223061,0.08743026496526976
HYBRID_GX,23400030,0.0615798412763731
PLAY,10088596,0.026549288200974637
