gender,total_gmv,percentage
male,174553278,0.45935681080368823
NO-GENDER,142101274,0.3739556700606967
female,62856077,0.16541291805674976
undisclosed,314361,0.0008272767378281962
non-binary,169981,0.00044732434103713443
