source,cohort,category,total_gmv
EBO,Expired Play,Indoor Equipment,27245
EBO,Expired Pro,Indoor Equipment,186812
EBO,Active Athome,Indoor Equipment,97771
EBO,Expired Athome,Indoor Equipment,87463
EBO,MP Play,Indoor Equipment,9999
EBO,Active Lux,Indoor Equipment,41597
EBO,Active Play,Indoor Equipment,354526
EBO,Active B2B,Indoor Equipment,355668
EBO,Expired Complimentary,Indoor Equipment,1280776
EBO,Active Complimentary,Indoor Equipment,130668
EBO,Active Elite,Indoor Equipment,1661132
SHOPIFY,Active Elite,Indoor_Equipment-Strength,58794
SHOPIFY,Expired B2B,Indoor_Equipment-Strength,11999
SHOPIFY,Expired Complimentary,Indoor_Equipment-Strength,7341
SHOPIFY,Expired Athome,Indoor_Equipment-Strength,3599
SHOPIFY,Expired Elite,Indoor_Equipment-Strength,26197
SHOPIFY,Active Athome,Indoor_Equipment-Strength,23498
SHOPIFY,Active Pro,Indoor Equipment,26499
SHOPIFY,Expired Athome,Indoor Equipment,2399
SHOPIFY,Expired Complimentary,Indoor Equipment,455300
SHOPIFY,Expired Pro,Indoor Equipment,66996
SHOPIFY,Active B2B,Indoor Equipment,215386
SHOPIFY,Active Play,Indoor Equipment,60915
SHOPIFY,Expired B2B,Indoor Equipment,171938
SHOPIFY,Expired Play,Indoor Equipment,55445
SHOPIFY,Active Athome,Indoor Equipment,7999
SHOPIFY,Expired Elite,Indoor Equipment,292299
SHOPIFY,Active Elite,Indoor Equipment,259282
SHOPIFY_APP,Active Lux,Indoor_Equipment-Strength,16277
SHOPIFY_APP,Expired Athome,Indoor_Equipment-Strength,47825
SHOPIFY_APP,Active Play,Indoor_Equipment-Strength,109940
SHOPIFY_APP,Active B2B,Indoor_Equipment-Strength,438446
SHOPIFY_APP,Expired Elite,Indoor_Equipment-Strength,571087
SHOPIFY_APP,Active Complimentary,Indoor_Equipment-Strength,41507
SHOPIFY_APP,Expired Play,Indoor_Equipment-Strength,2075
SHOPIFY_APP,Expired B2B,Indoor_Equipment-Strength,171958
SHOPIFY_APP,Expired Lux,Indoor_Equipment-Strength,11999
SHOPIFY_APP,Expired Pro,Indoor_Equipment-Strength,56712
SHOPIFY_APP,Active Athome,Indoor_Equipment-Strength,343104
SHOPIFY_APP,Active Pro,Indoor_Equipment-Strength,134788
SHOPIFY_APP,Expired Complimentary,Indoor_Equipment-Strength,286256
SHOPIFY_APP,Active Elite,Indoor_Equipment-Strength,1015428
SHOPIFY_APP,Active Pro,Indoor Equipment,2112602
SHOPIFY_APP,Active Elite,Indoor Equipment,17124522
SHOPIFY_APP,Expired Pro,Indoor Equipment,1511379
SHOPIFY_APP,MP Elite,Indoor Equipment,50286
SHOPIFY_APP,Active Lux,Indoor Equipment,493490
SHOPIFY_APP,Active Athome,Indoor Equipment,2891474
SHOPIFY_APP,Expired Complimentary,Indoor Equipment,5695322
SHOPIFY_APP,Active Complimentary,Indoor Equipment,597647
SHOPIFY_APP,Expired B2B,Indoor Equipment,1517245
SHOPIFY_APP,MP Pro,Indoor Equipment,60565
SHOPIFY_APP,Active B2B,Indoor Equipment,12409827
SHOPIFY_APP,Expired Lux,Indoor Equipment,80997
SHOPIFY_APP,Expired Play,Indoor Equipment,418825
SHOPIFY_APP,Expired Elite,Indoor Equipment,6091287
SHOPIFY_APP,Active Play,Indoor Equipment,1229624
SHOPIFY_APP,Expired Athome,Indoor Equipment,763953
SHOPIFY_WEB,Active Complimentary,Indoor_Equipment-Strength,28746
SHOPIFY_WEB,Expired Play,Indoor_Equipment-Strength,70005
SHOPIFY_WEB,Expired B2B,Indoor_Equipment-Strength,219441
SHOPIFY_WEB,Active Play,Indoor_Equipment-Strength,53207
SHOPIFY_WEB,Active B2B,Indoor_Equipment-Strength,241817
SHOPIFY_WEB,Expired Elite,Indoor_Equipment-Strength,978948
SHOPIFY_WEB,Active Pro,Indoor_Equipment-Strength,87922
SHOPIFY_WEB,Expired Athome,Indoor_Equipment-Strength,183049
SHOPIFY_WEB,Active Elite,Indoor_Equipment-Strength,621906
SHOPIFY_WEB,Active Lux,Indoor_Equipment-Strength,38347
SHOPIFY_WEB,Expired Pro,Indoor_Equipment-Strength,161713
SHOPIFY_WEB,Active Athome,Indoor_Equipment-Strength,136958
SHOPIFY_WEB,Expired Complimentary,Indoor_Equipment-Strength,1193461
SHOPIFY_WEB,Active Elite,Indoor Equipment,14221521
SHOPIFY_WEB,Expired Lux,Indoor Equipment,271634
SHOPIFY_WEB,Expired Elite,Indoor Equipment,18614676
SHOPIFY_WEB,Expired Pro,Indoor Equipment,3961054
SHOPIFY_WEB,Expired B2B,Indoor Equipment,5000691
SHOPIFY_WEB,Active Lux,Indoor Equipment,775121
SHOPIFY_WEB,Active Play,Indoor Equipment,694212
SHOPIFY_WEB,Expired Athome,Indoor Equipment,3128185
SHOPIFY_WEB,Active Pro,Indoor Equipment,1984299
SHOPIFY_WEB,Active Complimentary,Indoor Equipment,516095
SHOPIFY_WEB,Expired Play,Indoor Equipment,1491924
SHOPIFY_WEB,Active B2B,Indoor Equipment,6236894
SHOPIFY_WEB,MP Elite,Indoor Equipment,1199
SHOPIFY_WEB,Active Athome,Indoor Equipment,2098179
SHOPIFY_WEB,Expired Complimentary,Indoor Equipment,32588969
