sales_type,category,order_id,order_created_date,order_month,user_id,fitso_user_id,source,pack_id,pack_name,membership_service_id,revenue_type,mrp,price,instant_discount,fitcash,platform_fee,total_amount_payable,fitcash_refunded,total_refund,gmv,max_payment_channel,selected_payment_mode,group_order_payment_channel,group_order_payment_mode,is_gift_card_used,gift_card_amount,final_center_name,final_center_service_id,fin_cen_type,fin_cen_city,fin_cen_state,fin_cen_ownership_type,purchase_center_name,purchase_center_service_id,pur_cen_type,pur_cen_city,pur_cen_state,attribution_status,attribution_date,attributed_centername,attributed_centerservice_id,payment_gateway,pg_method,method_detail,pg_charges,juspay_charges,is_ppc,gst_base_amt,gst%,gst_amt,cgst,sgst,pfgst_base,pfgst%,pfgst_amt,sellerdetails_gstinno,sellerdetails_sellerid,sellerdetails_name,invoice_no,extrachargeinvoiceid,subscription_id,purchase_token,test_flag,bill_details,Remarks
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088230191,"March 31, 2026","March 1, 2026",105567272,,CUREFIT_APP,CULTPACK_ncU1Dg,12 Month cultpass ELITE,"9,08,85,435",Credit,"45,550","13,619","1,690",0,140,"13,759.75",,,"15,449.75",JUSPAY_RP,EMI,JUSPAY_RP,EMI,0,,Cult Gym Habsiguda(Hybrid),1099,GYM,Hyderabad,Telangana,COCO,Cult Habsiguda (Habsiguda),321,GX,Hyderabad,Telangana,Attributed,"April 2, 2026, 5:30 AM",Cult Gym Habsiguda(Hybrid),1099,PAYU,EMI Debit Card,Debit Trns,233.92,15.14,0,"12,971.19",5,648.56,324.28,324.28,118.64,18,21.36,36AAGCC6845A1ZU,SELLER_CULT_HYD_2,Curefit Services Private Limited,0038550864,0000822735,,,,,
Fitso Sales Dump (Cult Play),PLAY,4089274108,"March 31, 2026","March 1, 2026",105907637,18609811,CUREFIT,PLAYPACKNEW38678,Swim | Bangalore Cult Dummy Sport Pack | 12 month,,Credit,"14,990","8,709",,0,81,"8,790",,,"8,790",JUSPAY_RP,UPI,JUSPAY_RP,UPI,0,,Fitso Hennur Agon Sports,1041,SPORTS,Bangalore,Karnataka,COCO,Fitso Hennur Agon Sports,1041,,,Karnataka,,,,,CASHFREE,UPI,Trns > 2K,0.88,9.67,0,"7,380.51",18,"1,328.49",664.25,664.25,68.64,18,12.36,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038558963,0000829450,263573,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088350329,"March 31, 2026","March 1, 2026",104923790,,CUREFIT_APP,CULTPACK_LlWz5R,12 Month cultpass ELITE,"9,08,86,580",Credit,"43,380","15,099",,0,140,"15,239",,,"15,239",JUSPAY_RP,UPI,JUSPAY_RP,UPI,0,,"Cult Gym Mahalaxmi nagar, Bibwewadi",3073,GYM,Pune,MAHARASHTRA,COCO,"Cult Mahalaxmi Nagar, Bibwewadi(Bibewadi)",3074,GX,Pune,MAHARASHTRA,Attributed,"April 30, 2026, 5:30 AM","Cult Gym Mahalaxmi nagar, Bibwewadi",3073,CASHFREE,UPI,Trns > 2K,1.52,16.76,0,"14,380",5,719,359.5,359.5,118.64,18,21.36,27AAGCC6845A1ZT,SELLER_CULT_BOM_2,CureFit Services Private Limited,0038551867,0000823498,,,,,
Atcenter Fitness(Elite & Pro & LUX),LUX,4089052631,"March 31, 2026","March 1, 2026",77500188,,GYMFIT_PARTNER,LUXPACK_sU7e86,6 Months,"9,08,93,110",Credit,"60,368","40,505",,0,,"40,505",,,"40,505",MANUAL,MANUAL,MANUAL,MANUAL,0,,Fitness First South Point Mall ,3525,GYM,Gurgaon,HARYANA,COCO,Fitness First South Point Mall ,3525,GYM,Gurgaon,HARYANA,Attributed,"July 13, 2026, 12:00 AM",Fitness First South Point Mall ,3525,CASH,CASH,CASH,,,0,"38,576.19",5,"1,928.81",964.4,964.4,,,,06AAGCC6845A1ZX,SELLER_CULT_CFS_GGN,Curefit Services Private Limited,0038557575,,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4087833072,"March 31, 2026","March 1, 2026",88340291,,CUREFIT_NEW_WEBSITE,CULTPACK_ncU1Dg,12 Month cultpass ELITE,"9,08,81,334",Credit,"45,550","14,660",,0,140,"14,800",,,"14,800",RAZORPAY,DEBIT_OR_CREDIT_CARD,RAZORPAY,DEBIT_OR_CREDIT_CARD,0,,Cult Gym Puppalaguda,1999,GYM,Hyderabad,TELANGANA,COCO,Volt Fitness Studio (Alkapur)(Manikonda),3344,GYM,Hyderabad,TELANGANA,Attributed,"April 11, 2026, 12:00 AM",Cult Gym Puppalaguda,1999,RAZORPAY,DINER CARD,DINER CARD,370,,0,"13,961.9",5,698.1,349.05,349.05,118.64,18,21.36,36AAGCC5859A1ZQ,SELLER_CULT_HYD,Cultfit Healthcare Private Limited,0038548154,0000820752,,,,,
Atcenter Fitness(Elite & Pro & LUX),PRO,4088415604,"March 31, 2026","March 1, 2026",105782837,,GYMFIT_PARTNER,GYMFIT_CtqrTn,12 Months cultpass PRO,"9,08,87,371",Credit,"19,990","9,400",,0,140,"9,540",,,"9,540",PAYTM_POS,POS,PAYTM_POS,POS,0,,Supergym (Thippasandra),34,GYM,Bangalore,Karnataka,MARKETPLACE,Supergym (Thippasandra)(Thippasandra),34,GYM,Bangalore,Karnataka,Attributed,"April 6, 2026, 12:00 AM",Supergym (Thippasandra),34,PAYTM_POS,UPI,Trns > 2K,0,,0,"8,952.38",5,447.62,223.81,223.81,118.64,18,21.36,29AAGCC5859A1ZL,SELLER_CULT_HEALTHCARE_KARNATAKA,Cultfit Healthcare Private Limited,0038552442,0000823957,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4089454496,"March 31, 2026","March 1, 2026",79226258,,CUREFIT_APP,CULTPACK_ro7B7x,12 Month cultpass ELITE,"9,08,96,747",Credit,"58,150","18,200",,0,140,"18,340",,,"18,340",JUSPAY_RP,DEBIT_OR_CREDIT_CARD,JUSPAY_RP,DEBIT_OR_CREDIT_CARD,0,,Cult Golf Course Rd,616,GX,Gurgaon,Haryana,FOFO,Cult Golf Course Rd(DLF Phase-1),616,GX,Gurgaon,Haryana,Not_Yet_Attributed,,Cult Golf Course Rd,616,TPSL,CREDIT CARD,Credit Trns,220.08,20.17,0,"17,333.33",5,866.67,433.33,433.33,118.64,18,21.36,06AAGCC6845A1ZX,SELLER_CULT_CFS_GGN,Curefit Services Private Limited,0038559902,0000830246,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4087773116,"March 31, 2026","March 1, 2026",97050346,,CUREFIT_NEW_WEBSITE,CULTPACK_WYaF4Z,12 Month cultpass ELITE,"9,08,80,065",Credit,"45,550","15,310",,0,140,"15,450",,,"15,450",JUSPAY_RP,DEBIT_OR_CREDIT_CARD,JUSPAY_RP,DEBIT_OR_CREDIT_CARD,0,,Cult Gym HSR,608,GYM,Bangalore,Karnataka,FOFO,Zest Fitness 27th Main(HSR Layout),2568,GYM,Bangalore,,Attributed,"April 9, 2026, 5:30 AM",Cult Gym HSR,608,HDFC,CREDIT CARD,Credit Trns,185.4,17,0,"14,580.95",5,729.05,364.52,364.52,118.64,18,21.36,29AAGCC5859A1ZL,SELLER_CULT_HEALTHCARE_KARNATAKA,Cultfit Healthcare Private Limited,0038547773,0000820485,,,,,
GYM PT Pipeline,GYMFIT_PT,4087685792,"March 31, 2026","March 1, 2026",81466318,,GYMFIT_PARTNER,GYMPT6533,Level 3 Personal Training - 72 Sessions (Center-wide Pack),,Credit,"46,800","42,120",,0,,"42,120",,,"42,120",PAYTM_POS,POS,PAYTM_POS,POS,0,,Cult Gym Sarjapur - Dommasandra,1969,GYM,Bangalore,,FOFO,Cult Gym Sarjapur - Dommasandra,1969,,,,,,,,PAYTM_POS,CREDIT CARD,Credit Trns,421.2,,0,"40,114.29",5,"2,005.71","1,002.86","1,002.86",,,,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038547111,,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088336798,"March 31, 2026","March 1, 2026",12025764,,CUREFIT_APP,CULTPACK_WYaF4Z,12 Month cultpass ELITE,"9,08,86,468",Credit,"45,550","14,660",,0,140,"14,800",,,"14,800",JUSPAY_RP,UPI,JUSPAY_RP,UPI,0,,Cult Vidyaranyapura,574,GX,Bangalore,Karnataka,FOFO,Cult Vidyaranyapura(Vidyaranyapura),574,GX,Bangalore,Karnataka,Attributed,"March 31, 2026, 5:30 AM",Cult Vidyaranyapura,574,PINELABS_ONLINE,UPI,Trns > 2K,,16.28,0,"13,961.9",5,698.1,349.05,349.05,118.64,18,21.36,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038551760,0000823409,,,,,
