category,article_type,majority_service,style_id,product_total_gmv,category_total_gmv,overall_total_gmv,overall_category_percentage_contribution,category__product_percentage_contribution,overall_product_percentage_contribution,rnk
Indoor Equipment,Treadmill,OTHERS,,41440549,370477394,1078814296,34.341164681785045,11.185715963009608,3.841305139693848,1
Indoor Equipment,Spin Bike,OTHERS,,13172661,370477394,1078814296,34.341164681785045,3.555591032903886,1.2210313720203056,2
Indoor Equipment,Massage Chair,OTHERS,804382,12639702,370477394,1078814296,34.341164681785045,3.4117336724734137,1.1716290789680082,3
Indoor Equipment,Treadmill,GYM,,12352444,370477394,1078814296,34.341164681785045,3.3341964179331276,1.1450018826965935,4
Indoor Equipment,Treadmill,OTHERS,802154,10318825,370477394,1078814296,34.341164681785045,2.785277905512367,0.9564968723773752,5
Indoor Equipment,Strength,OTHERS,,10005696,370477394,1078814296,34.341164681785045,2.700757498850254,0.9274715803358246,6
Indoor Equipment,Elliptical,OTHERS,,8967983,370477394,1078814296,34.341164681785045,2.420655928064534,0.8312814386360338,7
Indoor Equipment,Treadmill,GX,,8204268,370477394,1078814296,34.341164681785045,2.214512446068437,0.7604893660029881,8
Indoor Equipment,Treadmill,OTHERS,802153,6719068,370477394,1078814296,34.341164681785045,1.8136242882338998,0.6228197035312554,9
Indoor Equipment,Treadmill,OTHERS,801725,6653917,370477394,1078814296,34.341164681785045,1.7960385998612376,0.6167805733267739,10
Indoor Equipment,Massage Chair,OTHERS,900026,6279890,370477394,1078814296,34.341164681785045,1.695080483102297,0.5821103801909574,11
Indoor Equipment,Treadmill,OTHERS,801724,6214507,370477394,1078814296,34.341164681785045,1.6774321728250983,0.5760497448951122,12
Indoor Equipment,Treadmill,HYBRID_GYM,,5127997,370477394,1078814296,34.341164681785045,1.3841592180925348,0.47533639654326565,13
Indoor Equipment,Spin Bike,GYM,,4629464,370477394,1078814296,34.341164681785045,1.2495941925136733,0.4291251995051426,14
Indoor Equipment,Treadmill,GYM,802154,3999695,370477394,1078814296,34.341164681785045,1.0796056830393272,0.3707491655264457,15
Indoor Equipment,Massage Chair,GX,804382,3879476,370477394,1078814296,34.341164681785045,1.04715592984332,0.359605542342572,16
Indoor Equipment,Massage Chair,GYM,804382,3695948,370477394,1078814296,34.341164681785045,0.9976176846029099,0.34259353196409625,17
Indoor Equipment,Treadmill,OTHERS,900111,3374575,370477394,1078814296,34.341164681785045,0.9108720409537323,0.3128040676242577,18
Indoor Equipment,Walkpad,OTHERS,,3297375,370477394,1078814296,34.341164681785045,0.8900340623752067,0.30564806308425113,19
Indoor Equipment,Treadmill,HYBRID_GX,,3238540,370477394,1078814296,34.341164681785045,0.8741532013691502,0.30019439045327595,20
Indoor Equipment,Strength,OTHERS,700059,3185683,370477394,1078814296,34.341164681785045,0.8598859340929179,0.29529484470235456,21
Indoor Equipment,Spin Bike,GX,,3179186,370477394,1078814296,34.341164681785045,0.8581322508438936,0.29469260944981024,22
Indoor Equipment,Massage Chair,OTHERS,900180,2882676,370477394,1078814296,34.341164681785045,0.7780976779382118,0.2672078049659068,23
Indoor Equipment,Strength,GYM,,2868027,370477394,1078814296,34.341164681785045,0.7741435905263359,0.2658499252961327,24
Indoor Equipment,Elliptical,GYM,,2826990,370477394,1078814296,34.341164681785045,0.7630668013174375,0.2620460268724507,25
Indoor Equipment,Strength,GX,,2716005,370477394,1078814296,34.341164681785045,0.7331095078907838,0.251758343402598,26
Indoor Equipment,Treadmill,OTHERS,805010,2596922,370477394,1078814296,34.341164681785045,0.7009663860894033,0.24072002101091922,27
Indoor Equipment,Walkpad,OTHERS,805001,2581129,370477394,1078814296,34.341164681785045,0.696703507906882,0.23925609899407563,28
Indoor Equipment,Walkpad,OTHERS,805000,2420818,370477394,1078814296,34.341164681785045,0.6534320417941614,0.22439617355608346,29
Indoor Equipment,Massage Chair,GYM,900026,2392985,370477394,1078814296,34.341164681785045,0.6459193027037974,0.22181621145294872,30
Indoor Equipment,Walkpad,OTHERS,805002,2390625,370477394,1078814296,34.341164681785045,0.6452822867783399,0.22159745276493814,31
Indoor Equipment,Treadmill,GYM,801724,2389318,370477394,1078814296,34.341164681785045,0.6449294987213173,0.2214763012372984,32
Indoor Equipment,Massage Chair,OTHERS,805109,2377281,370477394,1078814296,34.341164681785045,0.6416804475794817,0.22036053923408522,33
Indoor Equipment,Treadmill,OTHERS,801723,2375614,370477394,1078814296,34.341164681785045,0.6412304876016268,0.2202060177370879,34
Indoor Equipment,Massage Chair,HYBRID_GX,804382,2370314,370477394,1078814296,34.341164681785045,0.6397999009893705,0.21971473763265742,35
Indoor Equipment,Treadmill,GYM,802153,2284961,370477394,1078814296,34.341164681785045,0.616761248325991,0.21180299598106178,36
Indoor Equipment,Treadmill,GYM,801725,2268218,370477394,1078814296,34.341164681785045,0.6122419442412727,0.21025101432285803,37
Indoor Equipment,Treadmill,GX,802154,2202590,370477394,1078814296,34.341164681785045,0.5945275030735074,0.20416766890897783,38
Indoor Equipment,Treadmill,OTHERS,900033,2148688,370477394,1078814296,34.341164681785045,0.5799781673048585,0.1991712575525603,39
Indoor Equipment,Treadmill,OTHERS,900031,1974434,370477394,1078814296,34.341164681785045,0.5329431787138947,0.1830188946624786,40
Indoor Equipment,Elliptical,GX,,1960183,370477394,1078814296,34.341164681785045,0.5290965202589393,0.1816979073477165,41
Indoor Equipment,Rowing Machine,OTHERS,801306,1921549,370477394,1078814296,34.341164681785045,0.5186683536215978,0.1781167534694961,42
Indoor Equipment,Treadmill,OTHERS,805014,1803355,370477394,1078814296,34.341164681785045,0.48676519248027317,0.1671608363632586,43
Indoor Equipment,Treadmill,HYBRID_GYM,802154,1721023,370477394,1078814296,34.341164681785045,0.4645419741858797,0.15952912437118835,44
Indoor Equipment,Treadmill,OTHERS,900034,1714162,370477394,1078814296,34.341164681785045,0.46269003932801367,0.15889314837184917,45
Indoor Equipment,Treadmill,HYBRID_GYM,802153,1705901,370477394,1078814296,34.341164681785045,0.46046021366691,0.15812740026945285,46
Indoor Equipment,Spin Bike,OTHERS,805084,1639161,370477394,1078814296,34.341164681785045,0.4424456192325732,0.15194097872800158,47
Indoor Equipment,Strength,HYBRID_GYM,,1614532,370477394,1078814296,34.341164681785045,0.4357977102376185,0.14965800935214896,48
Indoor Equipment,Massage Chair,OTHERS,804383,1602061,370477394,1078814296,34.341164681785045,0.4324315129467791,0.14850201799698806,49
Indoor Equipment,Treadmill,GX,801724,1602022,370477394,1078814296,34.341164681785045,0.432420985988689,0.14849840291697433,50
Indoor Equipment,Spin Bike,HYBRID_GYM,,1585384,370477394,1078814296,34.341164681785045,0.42793002371421346,0.14695615416649985,51
Indoor Equipment,Massage Chair,OTHERS,805107,1552875,370477394,1078814296,34.341164681785045,0.4191551293410361,0.14394275323915431,52
Indoor Equipment,Treadmill,GYM,900111,1546013,370477394,1078814296,34.341164681785045,0.4173029245611677,0.1433066845454558,53
Indoor Equipment,Treadmill,HYBRID_GX,802154,1488201,370477394,1078814296,34.341164681785045,0.40169819376347693,0.1379478382440716,54
Indoor Equipment,Strength,GYM,700059,1482188,370477394,1078814296,34.341164681785045,0.40007515276357186,0.1373904670614413,55
Indoor Equipment,Massage Chair,PLAY,804382,1465535,370477394,1078814296,34.341164681785045,0.39558014165906163,0.13584682789557692,56
Indoor Equipment,Treadmill,GX,801725,1457035,370477394,1078814296,34.341164681785045,0.3932858046394054,0.1350589258413016,57
Indoor Equipment,Treadmill,OTHERS,900030,1438500,370477394,1078814296,34.341164681785045,0.388282800326543,0.13334083589118473,58
Indoor Equipment,Massage Chair,HYBRID_GYM,804382,1427307,370477394,1078814296,34.341164681785045,0.3852615633546591,0.13230330792724312,59
