member_type,category,gmv
CROSS-SELL,Indoor Equipment,370477400
NON-FS-MEMBER,Indoor Equipment,1318871114
CROSS-SELL,Indoor_Equipment-Strength,9517571
NON-FS-MEMBER,Indoor_Equipment-Strength,15225387
