month,city_name,user_base
"January 1, 2026",Rajahmundry,1
"January 1, 2026",Muzaffarpur,1
"December 1, 2025",Bangalore,"373,090"
"December 1, 2025",Hyderabad,"182,077"
"December 1, 2025",Gurgaon,"132,636"
"December 1, 2025",,"125,830"
"December 1, 2025",Mumbai,"43,090"
"December 1, 2025",Pune,"33,653"
"December 1, 2025",Chennai,"8,748"
"December 1, 2025",Navi_Mum_And_Thane,"4,259"
"December 1, 2025",Lucknow,"2,368"
"December 1, 2025",Mysore,"1,907"
"December 1, 2025",Bhubaneswar,"1,629"
"December 1, 2025",Chandigarh,"1,508"
"December 1, 2025",Jaipur,"1,437"
"December 1, 2025",Jammu,"1,307"
"December 1, 2025",Gulbarga,"1,144"
"December 1, 2025",Coimbatore,"1,087"
"December 1, 2025",Nagpur,"1,022"
"December 1, 2025",Visakhapatnam,957
"December 1, 2025",Kanpur,759
"December 1, 2025",Kota,733
"December 1, 2025",Jabalpur,702
"December 1, 2025",Bhopal,644
"December 1, 2025",Tumkur,623
"December 1, 2025",Patna,552
"December 1, 2025",Mangalore,520
"December 1, 2025",Kochi,416
"December 1, 2025",Moradabad,405
"December 1, 2025",Indore,400
"December 1, 2025",Bathinda,384
"December 1, 2025",Siliguri,319
"December 1, 2025",Belgaum,176
"December 1, 2025",Khanna,57
"December 1, 2025",Ahmedabad,53
"December 1, 2025",Kolkata,52
"December 1, 2025",Bilaspur,40
"December 1, 2025",Dehradun,17
"December 1, 2025",Ranchi,9
"December 1, 2025",Amritsar,7
"December 1, 2025",Rourkela,6
"December 1, 2025",Jamshedpur,6
"December 1, 2025",Roorkee,6
"December 1, 2025",Ludhiana,5
"December 1, 2025",Nashik,5
"December 1, 2025",Bareilly,5
"December 1, 2025",Allahabad,4
"December 1, 2025",Rajahmundry,4
"December 1, 2025",Guwahati,4
"December 1, 2025",Agra,4
"December 1, 2025",Vadodara,2
"December 1, 2025",Muzaffarpur,1
"December 1, 2025",Surat,1
"December 1, 2025",Shillong,1
"December 1, 2025",Latur,1
"December 1, 2025",Sangli,1
"November 1, 2025",Bangalore,"374,825"
"November 1, 2025",Hyderabad,"181,047"
"November 1, 2025",Gurgaon,"133,931"
"November 1, 2025",,"124,850"
"November 1, 2025",Mumbai,"43,380"
"November 1, 2025",Pune,"33,302"
"November 1, 2025",Chennai,"8,400"
"November 1, 2025",Navi_Mum_And_Thane,"4,246"
"November 1, 2025",Lucknow,"2,324"
"November 1, 2025",Mysore,"1,887"
"November 1, 2025",Bhubaneswar,"1,684"
"November 1, 2025",Jaipur,"1,510"
"November 1, 2025",Chandigarh,"1,497"
"November 1, 2025",Jammu,"1,317"
"November 1, 2025",Gulbarga,"1,179"
"November 1, 2025",Coimbatore,"1,059"
"November 1, 2025",Nagpur,"1,033"
"November 1, 2025",Visakhapatnam,967
"November 1, 2025",Kota,781
"November 1, 2025",Kanpur,770
"November 1, 2025",Jabalpur,704
"November 1, 2025",Bhopal,665
"November 1, 2025",Tumkur,656
"November 1, 2025",Patna,580
"November 1, 2025",Mangalore,520
"November 1, 2025",Indore,437
"November 1, 2025",Kochi,428
"November 1, 2025",Moradabad,405
"November 1, 2025",Bathinda,385
"November 1, 2025",Siliguri,316
"November 1, 2025",Belgaum,210
"November 1, 2025",Kolkata,52
"November 1, 2025",Ahmedabad,47
"November 1, 2025",Bilaspur,41
"November 1, 2025",Dehradun,15
"November 1, 2025",Ranchi,9
"November 1, 2025",Allahabad,7
"November 1, 2025",Jamshedpur,7
"November 1, 2025",Rourkela,7
"November 1, 2025",Amritsar,6
"November 1, 2025",Roorkee,6
"November 1, 2025",Nashik,6
"November 1, 2025",Bareilly,5
"November 1, 2025",Rajahmundry,5
"November 1, 2025",Agra,4
"November 1, 2025",Ludhiana,4
"November 1, 2025",Guwahati,4
"November 1, 2025",Vadodara,2
"November 1, 2025",Surat,1
"November 1, 2025",Latur,1
"November 1, 2025",Muzaffarpur,1
"November 1, 2025",Sangli,1
"November 1, 2025",Khanna,1
"November 1, 2025",Shillong,1
"October 1, 2025",Bangalore,"372,605"
"October 1, 2025",Hyderabad,"179,547"
"October 1, 2025",Gurgaon,"135,136"
"October 1, 2025",,"120,731"
"October 1, 2025",Mumbai,"43,478"
"October 1, 2025",Pune,"32,657"
"October 1, 2025",Chennai,"8,029"
"October 1, 2025",Navi_Mum_And_Thane,"4,223"
"October 1, 2025",Lucknow,"2,252"
"October 1, 2025",Mysore,"1,804"
"October 1, 2025",Bhubaneswar,"1,719"
"October 1, 2025",Jaipur,"1,501"
"October 1, 2025",Chandigarh,"1,476"
"October 1, 2025",Jammu,"1,381"
"October 1, 2025",Gulbarga,"1,241"
"October 1, 2025",Nagpur,"1,044"
"October 1, 2025",Coimbatore,"1,006"
"October 1, 2025",Visakhapatnam,954
"October 1, 2025",Kota,807
"October 1, 2025",Kanpur,786
"October 1, 2025",Jabalpur,716
"October 1, 2025",Tumkur,668
"October 1, 2025",Bhopal,664
"October 1, 2025",Patna,596
"October 1, 2025",Mangalore,524
"October 1, 2025",Indore,456
"October 1, 2025",Kochi,423
"October 1, 2025",Moradabad,407
"October 1, 2025",Bathinda,393
"October 1, 2025",Siliguri,314
"October 1, 2025",Belgaum,249
"October 1, 2025",Kolkata,52
"October 1, 2025",Ahmedabad,48
"October 1, 2025",Bilaspur,43
"October 1, 2025",Dehradun,17
"October 1, 2025",Ranchi,10
"October 1, 2025",Rourkela,9
"October 1, 2025",Allahabad,7
"October 1, 2025",Rajahmundry,6
"October 1, 2025",Nashik,6
"October 1, 2025",Jamshedpur,6
"October 1, 2025",Agra,5
"October 1, 2025",Bareilly,5
"October 1, 2025",Amritsar,5
"October 1, 2025",Roorkee,5
"October 1, 2025",Guwahati,4
"October 1, 2025",Ludhiana,4
"October 1, 2025",Vadodara,3
"October 1, 2025",Sangli,2
"October 1, 2025",Khanna,1
"October 1, 2025",Muzaffarpur,1
"October 1, 2025",Latur,1
"October 1, 2025",Surat,1
"October 1, 2025",Shillong,1
