age,total_gmv,percentage
NO-AGE,149495288,0.393413859153415
31-40,102423892,0.26954012504549696
21-30,91488520,0.2407624494588377
41-50,25911180,0.06818821820670884
50+,4767218,0.012545476555793682
0-10,3044735,0.008012566566308584
11-20,2864138,0.007537305013439244
